slice,grayvalue,area,mean_contrast,max_contrast,cx,cy
164,74,6,2.8024457,4.203668,898,468
165,112,6,2.5107062,4.1917877,369,364
165,74,6,2.4452095,4.715761,898,468
166,107,6,2.782399,5.2169976,909,550
147,81,6,4.368584,5.6265535,720,752
148,88,8,4.1614122,6.7130604,719,752
151,93,3,2.8183992,4.773095,794,229
151,71,4,5.148124,6.1368365,720,754
228,102,4,3.9151013,5.6946926,678,700
229,107,4,4.328664,6.04827,678,700
144,108,6,7.0212836,8.67335,562,408
145,79,7,3.3125033,5.3194904,562,408
145,66,8,3.512228,5.592285,719,751
146,90,1,3.0031435,3.0031435,695,705
146,76,9,2.7908,5.0507417,719,752
147,111,4,4.0480795,6.531355,694,704
147,85,10,3.1704283,6.3952847,719,752
148,112,8,3.0055385,5.977116,695,705
148,88,10,3.8851254,7.471395,719,752
149,107,8,2.7442076,5.2851405,695,705
149,79,9,2.9060745,5.827206,719,753
150,110,6,2.5961018,5.688849,695,706
150,82,8,3.8264284,7.9914784,719,753
151,109,6,1.9833089,5.54425,695,706
151,93,13,3.0269735,8.383988,719,754
152,100,3,1.8411034,5.1191654,587,356
152,81,8,3.3510327,6.735744,719,754
153,97,3,1.6632468,4.7200246,587,356
153,81,8,3.304017,6.742892,719,754
154,67,6,2.8435516,5.911005,719,754
156,68,6,3.120161,6.819781,720,755
157,73,6,3.0534039,5.3102674,720,755
158,80,5,3.9236145,5.9249215,720,756
159,80,6,2.9733298,6.165287,720,756
160,72,6,2.6346307,6.662785,720,756
161,103,4,4.094557,5.3720584,696,710
162,114,6,2.5257661,5.7482953,687,696
162,110,4,4.2459,7.054726,696,710
163,101,4,3.9777775,6.7817845,696,710
173,107,6,2.610262,5.391689,679,686
195,108,2,4.2355814,4.910819,684,700
208,108,4,2.9965184,6.174644,690,712
228,102,4,4.381755,6.1168118,678,700
229,107,4,4.5858645,6.4672446,678,700
241,105,4,4.333274,5.6215444,678,704
242,104,4,4.473207,5.730383,678,704
385,155,6,3.052839,5.1817923,1194,714
386,155,6,3.5530787,5.540394,1194,714
583,95,4,3.8966422,6.7618203,662,744
