n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
6,3,200,201,2,1,3,1.0000,200.452,482.000,856.935,8.8697,13.0000,1.2581,1.0388,4.5567,0.5556,0.3333,0.1111,0.0000,0.0000,4.0293,0.5254,0.5968
24,3,200,203,4,2,10,0.3000,200.988,614.388,722.537,17.3045,14.0000,1.3884,3.6218,4.9072,0.8597,0.1160,0.0243,0.0224,0.0008,2.8046,0.7016,0.2603
61,21,200,205,6,5,12,0.1694,201.443,621.305,699.767,32.1948,21.0000,1.7841,2.3851,7.3608,0.8203,0.1589,0.0207,0.1466,0.0497,4.5540,2.1001,0.5474
66,18,200,207,8,5,11,0.1500,202.140,634.199,696.370,31.7992,18.0000,1.6098,2.6638,6.3093,0.4474,0.5189,0.0337,0.1939,0.0643,4.5462,2.0940,0.5217
33,3,200,205,6,4,8,0.1719,201.713,637.338,687.314,20.1755,13.0000,1.2961,2.4271,4.5567,0.5474,0.4022,0.0504,0.2536,0.0381,3.8539,1.7504,0.2689
13,3,200,203,4,3,2,0.5417,201.193,691.985,803.333,13.1147,16.0000,1.5407,1.3390,5.6015,0.4566,0.3318,0.2116,0.7574,0.0264,2.4500,0.0009,0.3926
7,3,200,202,3,3,2,0.3889,200.760,700.213,805.107,9.9317,14.0000,1.3067,0.7965,4.9072,0.4000,0.4045,0.1955,0.0440,0.0753,2.8021,-0.0002,0.5333
13,5,200,203,4,5,2,0.3250,200.713,703.958,814.455,13.8959,16.0000,1.4545,0.8989,5.6082,0.3798,0.4816,0.1386,0.2360,0.2510,3.5038,1.5763,0.4685
14,6,200,202,3,5,1,0.9333,200.830,713.302,807.000,14.8876,16.0000,1.4088,1.0847,5.6082,0.6381,0.3189,0.0430,0.1247,0.0000,3.1548,0.3506,0.5346
11,3,200,202,3,4,1,0.9167,200.824,727.336,807.000,13.2041,17.0000,1.4960,0.8899,5.9587,0.5034,0.4382,0.0585,0.0693,0.0000,4.5517,1.4017,0.3760
37,9,200,203,4,3,9,0.3426,200.904,806.861,762.796,24.0164,22.0000,1.9520,1.2156,7.7068,0.8123,0.1056,0.0822,0.0698,0.1374,3.8552,1.4009,0.4293
