n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
7,3,200,202,3,3,2,0.3889,200.543,739.049,785.667,11.7584,21.0000,1.8148,0.6392,8.0701,0.1278,0.6171,0.2551,0.2673,0.0986,2.6937,0.7690,0.5679
17,6,200,203,4,8,2,0.2656,200.628,746.467,784.789,16.7657,18.0000,1.7000,1.6703,6.9172,0.8382,0.1239,0.0379,0.1558,0.1911,2.6904,0.5775,0.5056
9,4,200,202,3,4,1,0.7500,200.730,769.663,782.000,11.3919,12.0000,1.2135,0.8044,4.6115,0.2881,0.6266,0.0853,0.1327,0.0000,3.0755,0.3843,0.5169
8,3,200,202,3,3,2,0.4444,200.608,784.975,790.886,10.7267,12.0000,1.2152,0.4094,4.6067,0.5868,0.2488,0.1644,0.5077,0.1000,4.4177,2.3017,0.4304
27,4,200,202,3,5,8,0.2250,200.609,799.748,648.585,24.3902,24.0000,1.9636,0.8811,9.2229,0.9127,0.0451,0.0422,0.0250,0.0671,3.0720,1.1494,0.5970
6,3,200,201,2,2,3,0.5000,200.316,803.645,655.039,11.9194,23.0000,1.8158,0.4770,8.8386,0.4412,0.1872,0.3716,0.0000,0.0000,2.6880,-0.1901,0.6447
3,3,200,202,3,1,1,1.0000,200.951,806.000,770.000,9.0876,15.0000,1.0976,0.0488,5.7584,0.8889,0.0000,0.1111,1.0000,0.0000,5.7643,-0.0016,1.0000
5,3,200,201,2,2,2,0.6250,200.298,810.667,667.544,9.7930,17.0000,1.4912,0.7042,6.5329,0.2938,0.4054,0.3007,0.0000,0.3029,2.6932,0.0033,0.7018
8,4,200,203,4,2,2,0.5000,201.031,811.908,669.388,13.3005,18.0000,1.4694,1.1050,6.9172,0.7589,0.1106,0.1304,0.9682,0.0838,2.6863,0.3807,0.6327
26,10,200,204,5,3,6,0.2889,201.440,813.780,632.722,19.4898,14.0000,1.4054,1.4832,5.3800,0.3000,0.5917,0.1083,0.4523,0.0276,4.2187,1.1525,0.4556
9,4,200,202,3,2,3,0.5000,200.737,820.821,688.600,12.1598,15.0000,1.4211,0.9669,5.7643,0.3006,0.3718,0.3276,0.9413,0.1571,2.3046,1.1521,0.5474
3,3,200,202,3,1,1,1.0000,201.000,826.000,740.000,7.7573,13.0000,1.1143,0.0000,4.9906,0.8889,0.0000,0.1111,1.0000,0.0000,3.0767,0.5770,1.0000
7,5,200,202,3,2,2,0.5833,201.023,827.102,737.511,12.7682,16.0000,1.2727,1.1480,6.1486,0.5916,0.2044,0.2040,0.9664,0.1591,4.2236,0.9583,0.7841
4,3,200,203,4,1,1,1.0000,201.230,829.000,732.000,11.7057,19.0000,1.2459,1.2295,7.3015,0.9375,0.0000,0.0625,1.0000,0.0000,3.8363,-1.1443,0.8361
11,3,200,201,2,2,5,0.5500,200.324,833.235,711.441,11.8146,14.0000,1.5098,0.6873,5.3800,0.7894,0.0147,0.1958,0.1258,0.3649,1.9214,0.3843,0.3627
14,3,200,204,5,4,3,0.2333,201.734,840.827,770.489,14.2499,16.0000,1.6115,0.8987,6.1423,0.6853,0.2005,0.1143,0.8862,0.1576,3.0681,1.1541,0.3094
26,8,200,204,5,3,7,0.2476,201.194,844.276,736.108,20.1725,15.0000,1.4552,1.7826,5.7643,0.6980,0.2423,0.0598,0.3501,0.0247,2.6929,0.7687,0.4776
10,5,200,202,3,2,3,0.5556,200.909,846.697,663.475,12.0194,12.0000,1.2121,1.0694,4.6115,0.1140,0.5622,0.3238,1.0000,0.0000,3.6502,0.7690,0.5657
11,3,200,202,3,1,5,0.7333,200.516,848.000,672.169,14.3599,16.0000,1.4194,1.2782,6.1486,0.7562,0.2020,0.0418,0.0825,0.0000,4.2228,1.5368,0.5645
6,3,200,202,3,3,1,0.6667,200.915,854.814,389.000,9.2474,12.0000,1.2203,0.2048,4.6067,0.6944,0.2222,0.0833,0.8000,0.0000,3.0727,0.0012,0.5763
5,3,200,201,2,2,2,0.6250,200.451,1010.392,455.843,8.7608,12.0000,1.1765,0.6927,4.6067,0.3432,0.2505,0.4063,0.6059,0.3645,4.6067,1.9174,0.6667
7,4,200,202,3,2,2,0.5833,201.042,1020.577,451.704,10.3014,12.0000,1.1831,0.8223,4.6067,0.4296,0.3471,0.2233,0.9305,0.2273,3.8342,1.1509,0.6338
11,4,200,203,4,2,3,0.4583,201.190,1118.647,502.095,13.4239,13.0000,1.2328,1.3573,4.9958,0.7164,0.0414,0.2422,0.9862,0.0152,4.2220,0.7692,0.4224
5,3,200,202,3,2,2,0.4167,201.093,1143.796,727.852,9.2699,14.0000,1.2963,0.2684,5.3745,0.6489,0.0995,0.2515,0.9362,0.2726,3.8393,0.3852,0.6852
3,3,200,202,3,1,1,1.0000,201.028,1207.000,557.000,7.9787,13.0000,1.0833,0.9722,4.9853,0.8889,0.0000,0.1111,1.0000,0.0000,4.9954,1.5368,1.0000
4,3,200,201,2,2,1,1.0000,200.543,1230.413,524.000,8.8337,14.0000,1.2174,0.6156,5.3745,0.0000,0.7500,0.2500,1.0000,0.0000,4.2254,1.5343,0.8261
7,3,200,203,4,2,3,0.2917,201.388,1238.119,758.403,9.7174,12.0000,1.2537,0.7220,4.6067,0.3829,0.4729,0.1442,0.6653,0.0190,3.4578,1.1523,0.5224
6,3,201,203,3,1,3,0.6667,201.984,869.000,723.790,9.7066,12.0000,1.1613,0.2103,4.6018,0.6944,0.2222,0.0833,0.8000,0.0000,3.6428,0.5758,0.5484
10,5,201,204,4,2,2,0.6250,203.056,1160.370,815.620,13.0814,13.0000,1.2037,1.1813,4.9853,0.7247,0.0050,0.2703,0.9495,0.0000,3.4451,0.7686,0.6481
7,3,202,205,4,2,2,0.4375,203.319,1034.278,844.222,10.4205,14.0000,1.3611,0.4781,5.3628,0.6337,0.1104,0.2559,0.9775,0.0000,3.0569,1.1472,0.5417
8,3,202,205,4,2,2,0.5000,203.759,1036.342,397.443,10.6897,14.0000,1.4177,0.9434,5.3628,0.6166,0.2797,0.1037,0.9709,0.0963,4.0146,1.1494,0.4557
5,3,202,204,3,2,2,0.4167,203.327,1076.327,487.836,9.4184,13.0000,1.1818,0.4909,4.9798,0.6999,0.1281,0.1720,0.8684,0.1395,4.9736,1.7235,0.6727
6,3,202,204,3,3,1,0.6667,203.000,1082.217,1037.000,9.3829,11.0000,1.1000,1.0232,4.2183,0.6944,0.2222,0.0833,0.8000,0.0000,4.4023,1.5300,0.5500
6,3,202,204,3,2,2,0.5000,202.903,1180.274,749.726,9.6967,13.0000,1.2581,1.1633,4.9741,0.6605,0.1810,0.1584,0.9290,0.3479,3.4518,0.7664,0.5806
5,3,203,205,3,2,1,0.8333,204.309,924.636,291.000,9.4078,14.0000,1.2727,0.7808,5.3504,0.5854,0.2927,0.1220,0.9487,0.0000,3.8210,1.1442,0.6909
11,3,203,205,3,4,2,0.4583,204.163,1133.806,623.643,11.3035,11.0000,1.2347,0.4379,4.2088,0.8179,0.0181,0.1641,0.3072,0.9195,3.4427,0.3835,0.3367
4,3,203,205,3,1,2,0.6667,203.956,1157.000,527.511,8.6094,14.0000,1.2444,0.4909,5.3567,0.7576,0.1294,0.1129,0.8507,0.0000,4.5941,0.3828,0.8000
4,3,205,208,4,1,1,1.0000,206.375,829.000,732.000,9.1565,15.0000,1.2500,0.3750,5.7256,0.9375,0.0000,0.0625,1.0000,0.0000,3.0537,0.0001,0.8125
4,3,229,231,3,2,1,0.6667,229.939,996.429,864.000,9.0163,16.0000,1.3061,0.4329,5.8876,0.7576,0.1294,0.1129,0.8507,0.0000,4.7867,1.1030,0.8163
