n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
11,6,200,202,3,2,3,0.6111,200.590,332.645,792.311,13.3336,20.0000,1.2022,0.7560,4.8255,0.3117,0.3026,0.3857,0.4020,0.3234,2.8934,0.9651,0.6230
18,4,200,204,5,3,4,0.3000,201.701,361.779,875.967,15.4832,20.0000,1.3284,0.7360,4.8383,0.3741,0.4670,0.1589,0.8570,0.0289,2.1791,0.9594,0.2768
4,3,200,202,3,1,2,0.6667,200.633,780.000,745.800,10.8758,31.0000,1.3778,0.6642,7.4795,0.7500,0.1500,0.1000,0.9487,0.0000,4.2223,0.5999,0.8222
3,3,200,202,3,1,1,1.0000,200.982,795.000,725.000,7.8214,19.0000,1.0179,0.9821,4.5964,0.8889,0.0000,0.1111,1.0000,0.0000,3.7354,1.2076,1.0000
4,4,200,203,4,1,1,1.0000,201.392,799.000,657.000,12.3517,30.0000,1.1765,1.3922,7.2382,0.9375,0.0000,0.0625,1.0000,0.0000,5.2072,1.6859,1.0000
5,4,200,202,3,1,2,0.8333,200.747,804.000,665.667,10.7036,25.0000,1.2626,0.8184,6.0318,0.5854,0.2927,0.1220,0.9487,0.0000,3.2751,-0.3682,0.8485
4,3,200,202,3,1,2,0.6667,200.786,807.000,672.786,8.4624,19.0000,1.0857,0.3030,4.5964,0.7500,0.1500,0.1000,0.9487,0.0000,3.8695,0.7212,0.7857
47,6,200,207,8,5,7,0.1679,203.377,813.103,647.456,26.5827,23.0000,1.4452,3.8201,5.5640,0.5695,0.4014,0.0291,0.9106,0.0519,3.8943,1.3450,0.3142
5,3,200,202,3,1,2,0.8333,201.207,1219.000,735.359,9.9591,21.0000,1.1413,0.4139,5.0802,0.5854,0.2927,0.1220,0.9487,0.0000,3.3669,0.7251,0.6413
51,3,203,205,3,4,14,0.3036,203.972,304.941,651.519,25.9316,19.0000,1.2767,2.5200,4.6361,0.9536,0.0227,0.0238,0.0021,0.5899,2.6946,0.9789,0.1910
11,3,203,206,4,2,3,0.4583,204.774,312.684,810.571,13.0534,22.0000,1.3672,0.5793,5.3847,0.5169,0.2247,0.2585,0.8772,0.2149,2.2099,0.6025,0.3333
