n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
6,3,200,202,3,1,3,0.6667,200.819,136.000,600.194,9.5835,15.0000,1.2500,0.2653,4.8899,0.4000,0.4800,0.1200,0.7071,0.0000,3.4263,1.1412,0.5833
7,3,200,202,3,2,4,0.2917,200.476,145.268,481.610,10.1078,13.0000,1.1098,0.6712,4.2414,0.5307,0.3299,0.1394,0.3949,0.1054,3.1000,0.9785,0.4756
7,3,200,203,4,2,3,0.2917,200.830,232.239,1071.500,10.8441,17.0000,1.3523,0.9975,5.5464,0.7403,0.1772,0.0825,0.8580,0.0344,4.8914,2.6060,0.5000
4,3,200,203,4,1,1,1.0000,201.407,235.000,1075.000,8.7986,16.0000,1.1852,0.4074,5.2159,0.9375,0.0000,0.0625,1.0000,0.0000,5.2147,1.9557,0.8148
6,3,200,201,2,1,3,1.0000,200.467,642.000,745.013,9.9858,15.0000,1.2000,0.4669,4.8939,0.5556,0.3333,0.1111,0.0000,0.0000,3.7525,0.9785,0.5733
17,3,200,202,3,4,4,0.3542,200.646,790.761,768.871,16.5293,18.0000,1.4641,0.8490,5.8678,0.7185,0.0350,0.2465,0.0765,0.9907,2.2843,0.6506,0.4976
9,3,200,202,3,4,3,0.2500,200.463,816.093,681.000,11.7408,16.0000,1.3333,1.0544,5.2159,0.6728,0.1624,0.1648,0.3686,0.3237,2.6102,0.9780,0.5093
5,3,200,202,3,1,3,0.5556,200.541,815.000,703.426,8.8964,14.0000,1.1475,0.7886,4.5676,0.6646,0.2585,0.0769,0.7071,0.0000,2.9339,0.4890,0.6557
5,3,200,201,2,3,1,0.8333,200.406,1307.141,748.000,9.3350,15.0000,1.1719,0.4299,4.8939,0.5854,0.2927,0.1220,0.3162,0.0000,3.9156,0.1637,0.6562
8,3,202,205,4,2,2,0.5000,203.451,510.373,896.676,11.7309,17.0000,1.3333,0.7382,5.5273,0.6556,0.1306,0.2138,0.9180,0.3925,3.5803,0.9766,0.4412
4,3,203,205,3,1,2,0.6667,203.948,973.000,1000.241,9.4292,17.0000,1.1724,0.2469,5.5273,0.5357,0.3214,0.1429,1.0000,0.0000,5.0415,1.3020,0.7931
5,3,204,206,3,1,2,0.8333,204.836,780.000,470.344,8.8626,14.0000,1.1475,1.2138,4.5432,0.5854,0.2927,0.1220,0.9487,0.0000,3.8979,0.9745,0.6557
4,3,205,206,2,2,1,1.0000,205.538,1233.538,661.000,8.4411,14.0000,1.0769,0.7092,4.5476,0.0000,0.7500,0.2500,1.0000,0.0000,4.2187,0.9722,0.8077
6,3,206,208,3,3,2,0.3333,206.974,1031.623,334.156,10.1912,15.0000,1.1688,0.6431,4.8629,0.5367,0.2153,0.2481,0.4430,0.2219,4.3785,1.2972,0.5584
5,3,216,218,3,2,2,0.4167,217.060,1102.627,604.164,9.6036,16.0000,1.1940,0.4120,5.1286,0.5461,0.2256,0.2283,0.8117,0.4177,4.8088,1.2829,0.6716
4,3,226,228,3,2,1,0.6667,227.054,1081.500,711.000,8.8591,17.0000,1.2143,0.5029,5.3791,0.7576,0.1294,0.1129,0.8507,0.0000,4.7434,1.9008,0.8036
4,3,233,234,2,2,2,0.5000,233.811,1033.264,640.472,8.3105,15.0000,1.1321,0.6201,4.7029,0.5916,0.1015,0.3069,0.5000,0.5000,4.7033,1.2547,0.8113
3,3,234,235,2,2,1,0.7500,234.304,1277.652,657.000,8.3234,16.0000,1.0435,0.7197,5.0164,0.5333,0.2667,0.2000,0.7071,0.0000,5.3303,0.9414,1.0000
3,3,235,236,2,2,1,0.7500,235.674,663.674,982.000,7.7669,15.0000,1.0465,0.4604,4.6909,0.5333,0.2667,0.2000,0.7071,0.0000,4.6968,2.1875,1.0000
3,3,237,238,2,1,2,0.7500,237.644,1158.000,516.333,8.1081,16.0000,1.0667,0.7255,4.9973,0.5333,0.2667,0.2000,0.7071,0.0000,4.9913,2.1848,1.0000
6,3,243,245,3,2,2,0.5000,244.197,1013.276,1024.671,9.6076,15.0000,1.1842,0.4728,4.6458,0.6381,0.1455,0.2164,0.8019,0.3768,4.1829,1.2372,0.5789
3,3,243,245,3,1,1,1.0000,243.978,1059.000,1072.000,8.0471,16.0000,1.0667,0.0222,4.9556,0.8889,0.0000,0.1111,1.0000,0.0000,4.9609,1.2405,1.0000
4,3,245,247,3,2,1,0.6667,245.633,986.283,1019.000,9.2748,17.0000,1.1333,0.9564,5.2594,0.7500,0.1500,0.1000,0.9487,0.0000,4.6377,1.2321,0.8167
4,3,255,256,2,2,2,0.5000,255.259,703.204,853.741,8.2679,15.0000,1.1111,0.4194,4.5943,0.0000,0.5625,0.4375,0.4459,0.5774,3.9805,0.9194,0.7963
