n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
147,41,200,207,8,5,18,0.2042,202.238,596.398,709.122,52.8714,26.0000,1.9148,6.3182,8.3683,0.8160,0.1270,0.0570,0.0300,0.2114,2.5779,0.6401,0.5025
14,3,200,203,4,3,5,0.2333,201.521,597.805,761.361,14.5165,16.0000,1.3254,0.6630,5.1449,0.4860,0.4067,0.1073,0.1478,0.3293,3.0565,1.1224,0.2604
3,3,200,202,3,1,1,1.0000,201.022,625.000,656.000,8.3541,16.0000,1.0667,0.0222,5.1449,0.8889,0.0000,0.1111,1.0000,0.0000,3.8545,0.4831,1.0000
8,3,200,203,4,2,2,0.5000,201.838,651.222,791.606,11.2459,14.0000,1.1313,1.0581,4.5018,0.7512,0.1002,0.1486,0.9610,0.2614,3.2109,0.6401,0.4242
3,3,200,201,2,2,1,0.7500,200.682,944.364,235.000,8.1711,16.0000,1.0909,0.7115,5.1449,0.5333,0.2667,0.2000,0.7071,0.0000,3.8629,0.3220,1.0000
6,3,200,202,3,2,2,0.5000,200.874,958.690,204.126,11.4223,22.0000,1.5172,0.3582,7.0743,0.5230,0.1584,0.3185,0.9225,0.0898,4.6627,2.2488,0.5862
3,3,200,202,3,1,1,1.0000,201.023,1063.000,219.000,7.9828,15.0000,1.0465,0.9767,4.8188,0.8889,0.0000,0.1111,1.0000,0.0000,3.2198,-0.1597,1.0000
4,4,200,203,4,1,1,1.0000,201.507,1128.000,270.000,11.0882,20.0000,1.1594,0.5072,6.4312,0.9375,0.0000,0.0625,1.0000,0.0000,4.9775,0.9649,1.0000
3,3,200,202,3,1,1,1.0000,200.982,1175.000,320.000,10.3966,21.0000,1.1250,0.0179,6.7527,0.8889,0.0000,0.1111,1.0000,0.0000,6.1147,1.4458,1.0000
12,4,200,203,4,3,2,0.5000,201.084,1183.006,1027.516,14.3866,17.0000,1.3161,1.2005,5.4716,0.5526,0.2811,0.1663,1.0000,0.0000,3.2200,0.6450,0.4129
3,3,200,201,2,2,1,0.7500,200.378,1190.311,836.000,8.3592,17.0000,1.1333,0.6957,5.4665,0.5333,0.2667,0.2000,0.7071,0.0000,4.9875,2.2494,1.0000
4,3,200,203,4,1,1,1.0000,201.316,1213.000,1018.000,9.1615,18.0000,1.2632,1.3158,5.7934,0.9375,0.0000,0.0625,1.0000,0.0000,4.1778,1.2856,0.8070
11,5,200,203,4,2,3,0.4583,201.110,1241.516,470.342,15.0259,19.0000,1.3484,1.0844,6.1038,0.7520,0.0683,0.1797,0.9370,0.1723,5.1472,1.6047,0.6968
3,3,201,203,3,1,1,1.0000,202.023,1313.000,654.000,8.1606,15.0000,1.0227,0.0227,4.8188,0.8889,0.0000,0.1111,1.0000,0.0000,4.1728,0.6444,1.0000
5,3,202,204,3,2,2,0.4167,203.178,607.849,720.178,10.4753,19.0000,1.3014,0.2935,6.0977,0.6489,0.0995,0.2515,0.9362,0.2726,4.1769,1.9243,0.6712
4,3,202,202,1,3,2,0.6667,202.000,948.018,860.491,8.8344,14.0000,1.0182,0.4912,4.4975,0.7576,0.1294,0.1129,0.0000,1.0000,4.8188,0.8033,0.7636
4,3,204,206,3,2,1,0.6667,205.000,1170.172,314.000,9.2875,18.0000,1.2414,0.1724,5.7647,0.5357,0.3214,0.1429,1.0000,0.0000,4.4832,0.6426,0.8276
8,3,205,206,2,3,2,0.6667,205.535,976.406,821.634,11.4295,15.0000,1.1881,0.7180,4.7987,0.4716,0.1249,0.4035,0.2642,0.5134,4.1625,0.7999,0.4257
7,3,206,208,3,2,3,0.3889,206.810,1203.548,438.357,10.1476,14.0000,1.1667,1.0406,4.4788,0.2767,0.4208,0.3025,0.1378,0.2846,4.1581,1.5988,0.5000
8,3,213,216,4,2,2,0.5000,214.875,1139.104,278.667,10.7392,16.0000,1.3333,0.3709,5.0617,0.7254,0.1462,0.1284,0.9899,0.1415,3.1710,0.7926,0.4583
5,4,217,219,3,2,1,0.8333,217.771,1022.400,187.000,9.8656,16.0000,1.1429,0.4607,5.0407,0.5854,0.2927,0.1220,0.9487,0.0000,4.1018,1.5752,0.8286
6,3,225,227,3,2,2,0.5000,225.815,1104.160,754.531,10.2998,18.0000,1.3333,0.5293,5.6049,0.3810,0.3333,0.2857,0.9487,0.1690,4.6696,2.1792,0.5926
4,3,226,228,3,2,1,0.6667,226.783,1004.833,1017.000,9.3307,19.0000,1.2667,0.2734,5.9075,0.7500,0.1500,0.1000,0.9487,0.0000,5.1307,0.9330,0.8333
4,3,227,228,2,1,2,1.0000,227.509,802.000,1117.455,8.5439,16.0000,1.1636,0.6825,4.9747,0.0000,0.7500,0.2500,0.0000,0.0000,4.0364,1.0885,0.8000
