n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
22,6,200,203,4,10,3,0.1833,200.590,692.498,603.787,23.5563,29.0000,2.0254,1.7953,10.1758,0.8726,0.1047,0.0227,0.0240,0.1885,3.6832,1.7532,0.6349
5,3,200,201,2,3,1,0.8333,200.333,698.597,602.000,11.2960,24.0000,1.6667,0.6839,8.4213,0.5854,0.2927,0.1220,0.3162,0.0000,3.8601,0.7018,0.7361
17,9,200,202,3,6,2,0.4722,200.808,704.467,600.556,18.2028,27.0000,2.1449,1.1165,9.4740,0.7376,0.1772,0.0853,0.2255,0.0223,3.1560,0.8752,0.6308
12,7,200,203,4,4,2,0.3750,200.919,708.820,599.105,17.4122,27.0000,1.8837,1.2356,9.4740,0.6391,0.2608,0.1001,0.7716,0.0846,3.5046,0.7022,0.7267
10,5,200,202,3,6,1,0.5556,200.421,716.710,577.000,11.8697,13.0000,1.2150,0.8255,4.5616,0.8012,0.1658,0.0330,0.1246,0.0000,3.5091,0.8779,0.5701
17,8,200,202,3,4,2,0.7083,200.783,724.093,595.270,19.2238,25.0000,1.8805,1.3714,8.7722,0.4792,0.2741,0.2467,0.4433,0.0402,2.4580,0.3503,0.6150
5,4,200,202,3,2,2,0.4167,200.869,740.803,906.148,9.5670,15.0000,1.2295,0.2787,5.2600,0.6489,0.0995,0.2515,0.9362,0.2726,3.8600,1.7520,0.8525
8,3,200,203,4,3,2,0.3333,201.233,793.058,587.244,10.6606,13.0000,1.2093,1.6427,4.5616,0.7770,0.0820,0.1411,0.8855,0.4224,3.3309,0.7009,0.4419
7,3,200,202,3,2,2,0.5833,200.736,809.557,623.472,14.0516,23.0000,1.5189,1.0362,8.0704,0.3511,0.4804,0.1685,0.9911,0.1332,6.3121,1.7526,0.8302
29,3,200,205,6,4,5,0.2417,202.074,811.343,604.120,20.1066,15.0000,1.4078,2.3822,5.2633,0.2450,0.6940,0.0610,0.8005,0.0885,3.8559,1.0518,0.2168
