n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
28,6,200,204,5,10,3,0.1867,200.824,692.596,603.816,24.1248,29.0000,2.2308,1.8209,10.1758,0.8142,0.1512,0.0346,0.0139,0.1128,3.8596,1.0511,0.5495
6,3,200,201,2,3,1,1.0000,200.400,698.737,602.000,11.4571,24.0000,1.8000,0.8390,8.4213,0.5556,0.3333,0.1111,0.0000,0.0000,3.1587,0.1759,0.6625
21,9,200,202,3,6,2,0.5833,200.931,704.439,600.614,18.8252,27.0000,2.3049,1.2482,9.4740,0.6934,0.2128,0.0938,0.1189,0.0458,2.8042,0.7000,0.5488
7,4,200,202,3,2,3,0.3889,200.792,740.844,905.909,10.2069,15.0000,1.3636,0.2752,5.2600,0.1917,0.4720,0.3362,0.9296,0.1173,3.8576,1.2278,0.6753
10,4,200,203,4,4,2,0.3125,201.324,783.892,599.297,12.3063,19.0000,1.7117,1.6241,6.6669,0.4363,0.4629,0.1008,0.3695,0.1141,3.8573,1.0530,0.5495
10,3,200,203,4,3,2,0.4167,201.275,793.049,587.363,11.3088,13.0000,1.2745,1.6901,4.5616,0.7583,0.0854,0.1563,0.9479,0.2914,3.6792,0.5253,0.3725
8,3,200,203,4,2,2,0.5000,200.895,809.588,623.509,14.1346,23.0000,1.6140,1.1852,8.0704,0.6166,0.2797,0.1037,0.9709,0.0963,6.4846,1.4029,0.7719
36,7,200,203,4,4,10,0.2250,200.708,812.071,682.496,26.4218,27.0000,2.1504,4.5603,9.4740,0.8524,0.0525,0.0951,0.0461,0.0728,3.1560,0.3525,0.4889
4,4,200,203,4,1,1,1.0000,201.526,811.000,625.000,9.9906,15.0000,1.0526,1.5263,5.2633,0.9375,0.0000,0.0625,1.0000,0.0000,6.3069,0.3497,1.0000
28,11,200,203,4,3,6,0.3889,200.904,813.673,674.160,21.4726,23.0000,1.9877,2.0757,8.0704,0.4880,0.3418,0.1702,0.2596,0.3651,2.6305,0.6997,0.5031
25,12,200,203,4,3,7,0.2976,200.866,814.857,667.420,22.0237,21.0000,1.6720,1.6699,7.3687,0.7198,0.2043,0.0759,0.3042,0.1535,2.4576,0.6986,0.6242
