n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
4,3,200,202,3,2,1,0.6667,200.592,752.776,642.000,10.4427,26.0000,1.3684,0.6329,7.1357,0.7500,0.1500,0.1000,0.9487,0.0000,4.9444,1.5092,0.8421
7,3,200,202,3,2,2,0.5833,200.774,772.492,755.419,12.8847,24.0000,1.3548,1.0856,6.5868,0.3511,0.4804,0.1685,0.9911,0.1332,4.1387,-0.0049,0.8226
3,3,200,202,3,1,1,1.0000,201.000,806.000,718.000,7.9402,17.0000,1.0200,1.0000,4.6864,0.8889,0.0000,0.1111,1.0000,0.0000,4.1168,-0.8252,1.0000
30,7,200,202,3,8,6,0.2083,200.675,918.841,1017.537,20.8254,18.0000,1.3012,1.1732,4.9401,0.8976,0.0575,0.0448,0.0512,0.0146,3.1589,0.8299,0.3229
11,3,200,202,3,4,4,0.2292,200.514,928.041,1011.493,12.0950,17.0000,1.2808,0.7133,4.6758,0.8013,0.0604,0.1383,0.3332,0.5774,2.4626,0.5529,0.3425
15,3,201,203,3,4,5,0.2500,201.566,354.379,852.843,14.0794,17.0000,1.2879,0.8546,4.6758,0.6885,0.0860,0.2256,0.3663,0.9203,3.0230,1.0983,0.2475
13,3,204,206,3,5,3,0.2889,204.529,1226.124,855.206,13.0774,17.0000,1.3000,0.5813,4.7207,0.7335,0.1448,0.1217,0.1053,0.3181,2.7739,0.5540,0.2941
7,3,204,205,2,3,3,0.3889,204.262,1245.845,732.845,10.7904,18.0000,1.2233,0.8979,4.9858,0.4888,0.1571,0.3542,0.2516,0.8747,3.6113,0.6959,0.4854
22,6,208,211,4,3,6,0.3056,209.399,309.282,847.319,18.0375,19.0000,1.3887,0.5834,5.3341,0.6789,0.2284,0.0927,0.0548,0.6283,2.8157,0.8512,0.3355
18,3,208,210,3,4,5,0.3000,209.291,330.658,894.291,15.6962,18.0000,1.3671,0.8391,5.0533,0.7532,0.0789,0.1679,0.1167,0.3149,2.8032,0.8422,0.2785
20,3,209,210,2,4,8,0.3125,209.506,287.722,746.593,16.5346,17.0000,1.2928,0.8274,4.7867,0.8449,0.0952,0.0599,0.0273,0.9514,2.8103,1.1213,0.1863
