n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
15,7,200,202,3,3,6,0.2778,200.387,83.069,749.179,15.9744,14.0000,1.2139,0.4323,5.0066,0.7536,0.0324,0.2139,0.1419,0.9155,3.2185,1.0728,0.5838
16,3,200,201,2,5,4,0.4000,200.225,155.533,845.888,15.1094,14.0000,1.3254,0.5889,5.0066,0.5465,0.3229,0.1306,0.0840,0.9807,2.8609,1.0728,0.3195
18,8,200,201,2,4,5,0.4500,200.260,162.500,867.066,16.5212,15.0000,1.3776,1.0906,5.3642,0.3150,0.4673,0.2176,0.0794,0.9958,3.2187,1.0728,0.5102
11,3,200,203,4,2,4,0.3438,201.258,590.925,739.467,12.9398,14.0000,1.2833,0.5386,5.0069,0.6309,0.2672,0.1019,0.9226,0.0887,3.2184,1.4304,0.3250
10,3,200,202,3,3,4,0.2778,200.827,592.064,745.573,12.4402,15.0000,1.3636,1.7782,5.3642,0.8156,0.0840,0.1004,0.5286,0.2462,3.2186,1.0727,0.3636
102,34,200,203,4,26,4,0.2452,200.889,668.031,629.009,48.2649,26.0000,1.9457,0.9755,9.2985,0.9783,0.0156,0.0061,0.0150,0.1830,4.6494,1.7881,0.6566
8,3,200,203,4,2,2,0.5000,200.948,659.479,797.896,12.1384,17.0000,1.4167,1.0672,6.0795,0.7589,0.1106,0.1304,0.9682,0.0838,3.3977,0.8942,0.4896
48,8,200,203,4,15,4,0.2000,200.719,668.808,799.379,31.1780,20.0000,1.5894,6.2644,7.1523,0.9518,0.0338,0.0145,0.0388,0.1128,3.7551,1.0730,0.6060
12,6,200,202,3,6,2,0.3333,200.483,679.656,800.940,15.5888,17.0000,1.3510,0.8168,6.0795,0.7813,0.1480,0.0706,0.1232,0.1123,3.9338,0.7153,0.6026
40,13,200,203,4,12,4,0.2083,200.897,685.967,625.577,29.1214,21.0000,1.6311,4.3090,7.5099,0.9001,0.0794,0.0205,0.0481,0.0043,4.6497,1.0729,0.6951
8,4,200,202,3,4,1,0.6667,200.711,688.289,802.000,12.2647,16.0000,1.3196,0.7677,5.7221,0.5462,0.3862,0.0676,0.5606,0.0000,3.3974,1.4304,0.5876
20,4,200,203,4,8,3,0.2083,200.698,697.882,803.171,19.5922,18.0000,1.4694,2.9699,6.4374,0.8747,0.0941,0.0312,0.1261,0.1884,3.3974,1.0729,0.6041
6,4,200,202,3,3,1,0.6667,200.568,699.838,807.000,10.8040,15.0000,1.2162,0.5903,5.3642,0.2083,0.6667,0.1250,0.8944,0.0000,5.7220,1.6094,0.7432
10,3,200,203,4,3,2,0.4167,201.171,704.117,804.919,12.5535,16.0000,1.4414,1.1798,5.7219,0.4956,0.3614,0.1430,0.9667,0.1422,3.3977,1.0730,0.4865
5,4,200,202,3,2,2,0.4167,200.857,831.206,1034.159,10.0760,15.0000,1.1905,0.2970,5.3645,0.6489,0.0995,0.2515,0.9362,0.2726,3.9339,1.2516,0.8413
9,3,200,203,4,2,3,0.3750,201.582,838.816,985.092,11.6830,14.0000,1.2857,0.4660,5.0071,0.7158,0.0497,0.2345,0.9308,0.0177,2.8611,0.7153,0.4082
3,3,200,202,3,1,1,1.0000,201.000,911.000,191.000,7.4333,12.0000,1.0000,1.0000,4.2918,0.8889,0.0000,0.1111,1.0000,0.0000,4.6492,1.0729,1.0000
6,3,200,203,4,2,2,0.3750,201.171,975.129,919.871,10.2203,15.0000,1.2857,0.2499,5.3645,0.8087,0.0589,0.1324,0.9827,0.1690,3.7552,1.0730,0.6000
5,3,200,202,3,2,1,0.8333,200.714,1049.375,382.000,8.9564,13.0000,1.1607,0.8067,4.6492,0.5854,0.2927,0.1220,0.9487,0.0000,5.0067,1.4305,0.6786
4,3,200,202,3,1,2,0.6667,200.787,1077.000,924.213,8.4043,13.0000,1.1064,0.3009,4.6492,0.7500,0.1500,0.1000,0.9487,0.0000,3.9340,1.0730,0.7872
4,3,200,201,2,2,2,0.5000,200.265,1181.184,987.469,8.7617,14.0000,1.1429,0.6210,5.0066,0.5916,0.1015,0.3069,0.5000,0.5000,3.9339,1.2517,0.8163
10,3,200,203,4,2,3,0.4167,201.728,1222.439,831.895,12.8931,14.0000,1.2281,0.6326,5.0071,0.6451,0.1436,0.2113,0.8148,0.1029,3.0400,0.3578,0.4561
9,3,200,200,1,6,4,0.3750,200.000,1228.245,651.392,12.1589,17.0000,1.5000,1.3855,6.0795,0.9422,0.0354,0.0223,0.0000,1.0000,2.8609,0.3576,0.5294
14,3,200,201,2,5,3,0.4667,200.376,1229.166,655.076,15.0058,18.0000,1.6051,2.1598,6.4371,0.8484,0.0397,0.1119,0.0157,0.3575,3.0398,0.1788,0.3567
19,4,200,202,3,7,6,0.1508,200.308,1232.226,689.433,17.0651,15.0000,1.3702,1.6572,5.3642,0.8922,0.0490,0.0588,0.0998,0.9545,2.8610,0.3577,0.2740
18,6,200,203,4,3,6,0.2500,200.571,1230.197,671.394,16.6901,16.0000,1.4545,1.4580,5.7219,0.5118,0.2534,0.2348,0.1013,0.4624,2.6823,0.0001,0.5253
15,7,200,201,2,7,3,0.3571,200.198,1232.713,702.156,15.4203,15.0000,1.3473,0.7557,5.3642,0.8721,0.0587,0.0692,0.0815,0.9757,2.8608,0.7152,0.5449
10,6,200,202,3,4,2,0.4167,200.795,1230.756,784.386,14.3627,16.0000,1.2598,0.9952,5.7221,0.5657,0.2339,0.2004,0.0551,0.3903,3.5762,0.3577,0.6929
3,3,200,200,1,2,2,0.7500,200.000,1231.674,665.349,8.8782,15.0000,1.0465,0.7280,5.3642,0.5333,0.2667,0.2000,0.0000,1.0000,3.5761,0.7152,1.0000
28,3,200,202,3,5,7,0.2667,200.461,1233.359,753.500,20.5457,17.0000,1.5658,2.6217,6.0798,0.4689,0.3972,0.1339,0.0374,0.9989,2.5033,0.5364,0.3651
14,4,200,201,2,4,3,0.5833,200.500,1234.434,747.096,15.8661,16.0000,1.3494,1.1778,5.7219,0.5259,0.2229,0.2513,0.0811,0.9954,2.6822,0.3575,0.5542
7,3,201,203,3,2,2,0.5833,201.917,1127.607,441.107,11.3550,18.0000,1.5000,0.4156,6.4377,0.5916,0.2044,0.2040,0.9664,0.1591,3.5763,1.0729,0.5238
4,3,201,202,2,2,2,0.5000,201.235,1224.451,833.784,9.1197,16.0000,1.2549,0.5525,5.7221,0.5916,0.1015,0.3069,0.5000,0.5000,3.5764,0.5365,0.7843
4,3,201,202,2,2,1,1.0000,201.540,1232.480,789.000,8.9411,15.0000,1.2000,0.6648,5.3648,0.0000,0.7500,0.2500,1.0000,0.0000,4.2917,1.7882,0.7800
13,3,202,204,3,3,3,0.4815,203.030,171.746,821.993,13.2927,13.0000,1.2612,0.7469,4.6497,0.4465,0.2006,0.3529,0.6487,0.7572,2.8613,1.0729,0.2836
7,4,202,204,3,2,3,0.3889,202.690,182.893,867.810,11.3554,16.0000,1.3333,0.3789,5.7227,0.1917,0.4720,0.3362,0.9296,0.1173,3.2188,1.0729,0.6548
4,3,202,203,2,2,2,0.5000,202.292,1154.458,488.208,8.5837,14.0000,1.1667,0.8690,5.0074,0.5916,0.1015,0.3069,0.5000,0.5000,3.5765,1.0730,0.7917
17,4,202,205,4,4,3,0.3542,203.508,1188.519,565.134,16.2221,15.0000,1.3636,0.7125,5.3653,0.3766,0.1310,0.4924,0.0067,0.8415,3.2191,0.7154,0.3636
14,3,203,205,3,7,2,0.3333,203.841,1166.417,522.212,14.4348,14.0000,1.2980,1.8049,5.0076,0.9023,0.0242,0.0735,0.1105,0.3377,3.2192,1.0730,0.3444
13,3,203,206,4,4,3,0.2708,204.199,1180.560,554.915,13.9879,14.0000,1.2908,0.9815,5.0079,0.6958,0.1478,0.1564,0.5711,0.3903,2.8617,0.7154,0.5319
13,3,203,205,3,4,4,0.2708,203.441,1199.706,605.287,13.4914,14.0000,1.3382,1.0962,5.0074,0.7533,0.1035,0.1433,0.2098,0.7318,2.8614,1.0729,0.3676
10,4,203,204,2,4,3,0.4167,203.728,1204.333,624.368,12.8944,15.0000,1.3158,0.7642,5.3653,0.7833,0.1079,0.1088,0.0421,0.6791,3.2192,0.7154,0.5789
12,4,203,204,2,4,4,0.3750,203.731,1203.900,618.292,13.4230,13.0000,1.2000,1.8477,4.6499,0.8443,0.0470,0.1087,0.1452,0.9606,3.2192,1.6096,0.4846
14,3,203,205,3,4,3,0.3889,203.724,1207.656,644.067,15.5819,16.0000,1.3742,1.4472,5.7230,0.4506,0.1349,0.4145,0.2317,0.4626,3.2193,1.4308,0.5092
10,3,203,204,2,4,3,0.4167,203.574,1208.750,648.194,12.2156,14.0000,1.2963,1.0203,5.0076,0.7625,0.0560,0.1815,0.1790,0.7486,2.8614,0.5366,0.3704
14,3,203,206,4,5,3,0.2333,204.469,1208.524,663.946,14.0529,16.0000,1.5238,1.5500,5.7230,0.7485,0.1042,0.1473,0.3760,0.6879,2.5039,0.7155,0.2721
17,4,203,206,4,4,5,0.2125,204.314,1212.633,700.426,16.3096,14.0000,1.2660,1.0961,5.0079,0.6516,0.1602,0.1882,0.0765,0.0307,3.2193,0.7154,0.4734
14,7,203,205,3,5,4,0.2333,204.051,1212.949,685.586,15.0086,15.0000,1.3376,1.2044,5.3653,0.8319,0.0676,0.1005,0.2824,0.0638,3.2193,0.8943,0.5796
3,3,204,205,2,1,2,0.7500,204.667,691.000,1007.333,8.0542,13.0000,1.0000,0.7454,4.6502,0.5333,0.2667,0.2000,0.7071,0.0000,5.0078,1.9673,1.0000
5,4,204,206,3,1,2,0.8333,205.238,875.000,1231.587,10.0782,13.0000,1.0317,0.6337,4.6504,0.5854,0.2927,0.1220,0.9487,0.0000,4.2924,0.7154,0.8254
6,3,204,205,2,2,2,0.7500,204.632,1078.544,407.279,9.9300,15.0000,1.3235,0.6489,5.3656,0.2000,0.3333,0.4667,0.7071,0.7071,4.2924,1.2519,0.5882
14,7,204,207,4,4,3,0.2917,205.515,1206.400,822.673,15.7745,16.0000,1.3576,1.0382,5.7233,0.1540,0.5008,0.3452,0.8816,0.4597,3.7559,0.7154,0.5818
7,3,204,206,3,2,2,0.5833,205.074,1208.469,774.235,10.9512,15.0000,1.2963,0.5297,5.3656,0.4296,0.3471,0.2233,0.9305,0.2273,2.5042,0.8943,0.5432
14,6,204,206,3,5,2,0.4667,204.836,1210.206,721.648,15.7739,17.0000,1.4424,0.4391,6.0810,0.5867,0.1826,0.2307,0.0125,0.0262,3.2194,1.4309,0.5273
7,4,204,205,2,3,3,0.3889,204.549,1211.976,786.683,11.0861,14.0000,1.1951,0.6343,5.0079,0.3231,0.4135,0.2634,0.1690,0.6685,3.5768,1.0731,0.6463
13,3,204,205,2,4,5,0.3250,204.208,1213.486,692.694,14.2856,15.0000,1.3542,0.8887,5.3653,0.8917,0.0203,0.0879,0.0551,0.9785,3.2191,1.0731,0.4653
18,3,204,206,3,5,3,0.4000,204.578,1213.840,734.209,15.7659,12.0000,1.1551,2.0467,4.2925,0.6829,0.1782,0.1388,0.3182,0.8438,2.8617,0.8942,0.2567
