cluster_root,volume_name,n_seed,n_seed_regions,n_seed_total,fill_pca,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio,diag,gs_median,gs_p90,gs_peak,gs_shell_median,gs_contrast,volume_mm3,z_extent_mm,y_extent_mm,x_extent_mm,radial_pos_frac,dist_to_z_boundary_mm,ml_label,sample_weight
"('M50L-07', 10, 255, 703, 853)",M50L-07,3,1,3,0.5136,9.7124,15.0,1.2651,0.9926,4.646,0.3883,0.1309,0.4808,0.3626,0.5691,3.4071,0.6198,0.5422,0.8399,130.0,132.4,133.0,121.5,8.5,3.0901184013485196e-05,0.0328087,0.0328087,0.04921305000000001,0.248,0.984261,1,0.07142857142857142
"('M50L-07', 9, 303, 1119, 645)",M50L-07,3,1,3,0.6366,10.2384,16.0,1.1566,0.5193,4.8345,0.5556,0.3333,0.1111,1.0,0.0,4.3813,0.9065,0.5542,1.0,129.5,132.0,132.0,122.0,7.5,2.6486729154415886e-05,0.04921305000000001,0.0328087,0.01640435,0.631,1.7716698000000002,1,0.09090909090909091
"('M50L-07', 10, 344, 708, 844)",M50L-07,3,1,3,0.4824,9.6367,19.0,1.3194,0.5176,5.6865,0.5461,0.2256,0.2283,0.8117,0.4177,4.4893,1.0474,0.7222,0.9123,146.0,150.6,151.0,128.5,17.5,2.207227429534657e-05,0.04921305000000001,0.0328087,0.0328087,0.231,2.4442481500000004,0,0.07142857142857142
"('M50L-07', 11, 730, 572, 818)",M50L-07,4,1,4,0.4898,13.8413,23.0,1.5436,0.1975,6.7564,0.6036,0.1894,0.2069,0.9359,0.1933,4.4064,1.4688,0.5168,0.8917,134.0,139.2,141.0,121.0,13.0,4.414454859069314e-05,0.0656174,0.0328087,0.04921305000000001,0.294,8.776327250000001,1,0.08333333333333333
"('M50L-07', 15, 854, 677, 843)",M50L-07,3,1,3,0.4109,9.1529,16.0,1.1429,0.6876,4.6781,0.6999,0.1281,0.172,0.8684,0.1395,4.678,1.4619,0.6714,1.0809,147.0,148.0,148.0,134.0,13.0,2.207227429534657e-05,0.04921305000000001,0.0328087,0.0328087,0.234,10.81046665,0,0.09090909090909091
"('M50L-07', 11, 890, 750, 788)",M50L-07,7,2,8,0.3729,18.2704,21.0,1.4669,1.718,6.1489,0.8821,0.0428,0.0751,0.6966,0.2243,3.5132,0.5857,0.511,1.1685,132.0,141.2,146.0,119.0,13.0,8.387464232231696e-05,0.09842610000000002,0.0656174,0.0656174,0.152,11.401023250000001,0,0.07142857142857142
"('M50L-07', 8, 935, 669, 646)",M50L-07,3,1,3,0.6366,8.1121,17.0,1.0625,0.0208,4.9762,0.8889,0.0,0.1111,1.0,0.0,4.9764,1.3172,1.0,1.0,121.0,121.8,122.0,107.0,14.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.109,12.139219,0,0.125
"('M50L-07', 2, 1150, 966, 401)",M50L-07,9,1,9,0.4438,18.1741,23.0,1.5333,1.1316,6.5694,0.7686,0.0415,0.1899,0.5742,0.0322,3.8547,0.858,0.5852,0.9951,134.0,139.0,142.0,124.0,10.0,7.946018746324766e-05,0.0656174,0.08202175,0.04921305000000001,0.608,15.666154250000002,1,0.07142857142857142
"('M50L-07', 4, 1257, 768, 780)",M50L-07,6,2,7,0.4134,15.7498,21.0,1.5,1.1446,5.9061,0.5812,0.0505,0.3683,0.867,0.4791,3.2343,0.9844,0.5223,0.7947,133.0,140.5,145.0,118.0,15.0,7.063127774510903e-05,0.08202175,0.04921305000000001,0.04921305000000001,0.151,17.437824050000003,0,0.09090909090909091
"('M50L-07', 8, 1276, 763, 581)",M50L-07,4,1,4,0.503,9.7579,19.0,1.3412,0.4466,5.3428,0.523,0.1584,0.3185,0.9225,0.0898,3.9368,1.1248,0.7647,0.8969,129.0,130.5,132.0,116.0,13.0,2.6486729154415886e-05,0.04921305000000001,0.0328087,0.0328087,0.2,17.733102350000003,1,0.07142857142857142
"('M50L-07', 8, 1452, 407, 756)",M50L-07,10,1,10,0.4538,19.4431,28.0,1.9398,0.2147,7.8641,0.1884,0.1235,0.6881,0.1733,0.141,3.5106,1.4043,0.5572,0.8771,134.0,139.8,149.0,123.0,10.5,0.00010153246175859423,0.0656174,0.04921305000000001,0.0656174,0.485,20.620267950000002,1,0.07142857142857142
"('M50L-07', 7, 1487, 636, 608)",M50L-07,3,1,3,0.5533,9.6203,18.0,1.2857,0.7033,5.0495,0.6061,0.303,0.0909,0.7071,0.0,4.3483,1.543,0.6071,1.1055,130.0,132.0,132.0,117.0,13.0,2.6486729154415886e-05,0.04921305000000001,0.01640435,0.04921305000000001,0.188,21.194420200000003,1,0.09090909090909091
"('M50L-07', 3, 1643, 667, 733)",M50L-07,3,1,3,0.4685,11.0167,19.0,1.3694,0.4315,5.3337,0.8448,0.0315,0.1237,0.8617,0.2205,4.0705,1.965,0.4955,1.0702,117.5,125.0,125.0,105.0,12.5,3.531563887255451e-05,0.0656174,0.04921305000000001,0.0328087,0.086,23.753498800000003,0,0.07142857142857142
"('M50L-07', 15, 1789, 595, 786)",M50L-07,3,1,3,0.5591,7.4757,16.0,1.0435,0.4612,4.5037,0.5333,0.2667,0.2,0.7071,0.0,4.504,1.5481,1.0,1.118,153.0,153.8,154.0,136.0,17.0,1.3243364577207943e-05,0.0328087,0.0328087,0.01640435,0.224,26.148533900000004,0,0.09090909090909091
"('M50L-07', 19, 1898, 166, 789)",M50L-07,9,1,9,0.5024,16.2617,21.0,1.3582,0.514,6.1268,0.3662,0.2638,0.3701,0.4121,0.7649,4.0843,1.167,0.7711,0.81,138.0,141.0,142.0,123.0,15.0,5.738791316790108e-05,0.04921305000000001,0.04921305000000001,0.0656174,0.86,27.936608050000004,1,0.07142857142857142
"('M50L-07', 4, 1989, 794, 682)",M50L-07,3,1,3,0.503,10.1746,17.0,1.2143,0.4114,5.044,0.523,0.1584,0.3185,0.9225,0.0898,4.7469,1.78,0.5714,0.8969,127.0,128.5,129.0,113.0,14.0,2.6486729154415886e-05,0.04921305000000001,0.0328087,0.0328087,0.135,29.429403900000004,1,0.09090909090909091
"('M50L-07', 6, 2094, 664, 438)",M50L-07,15,2,16,0.5508,25.3305,29.0,1.7715,0.6206,8.6358,0.6626,0.0955,0.242,0.305,0.9242,4.9135,1.1912,0.7262,0.7967,137.0,145.0,151.0,123.5,12.5,0.00011919028119487148,0.04921305000000001,0.09842610000000002,0.04921305000000001,0.419,31.151860650000003,1,0.07142857142857142
"('M50L-07', 5, 2151, 697, 830)",M50L-07,3,1,3,0.4087,9.4947,16.0,1.2308,0.2525,4.7707,0.8087,0.0589,0.1324,0.799,0.169,4.3234,1.4908,0.5897,1.2957,149.0,151.0,151.0,134.0,15.0,2.6486729154415886e-05,0.04921305000000001,0.04921305000000001,0.0328087,0.199,31.31590415,0,0.125
"('M50L-07', 3, 2289, 808, 205)",M50L-07,5,1,5,0.5,13.0968,20.0,1.3534,0.4383,5.9083,0.4647,0.1127,0.4226,0.8884,0.0831,4.7265,1.4771,0.6316,0.9628,157.0,159.6,162.0,140.0,17.0,3.973009373162383e-05,0.04921305000000001,0.04921305000000001,0.0328087,0.793,29.05210385,1,0.07142857142857142
"('M50L-07', 2, 2293, 434, 1266)",M50L-07,7,2,8,0.4723,19.403,23.0,1.6047,1.1057,6.7942,0.6803,0.1713,0.1484,0.5904,0.7307,4.4311,2.2156,0.495,0.8442,139.0,145.0,145.0,124.0,15.0,9.27035520404556e-05,0.0656174,0.04921305000000001,0.09842610000000002,0.976,28.98648645,0,0.07142857142857142
"('M50L-07', 14, 2352, 205, 797)",M50L-07,17,1,17,0.5278,27.6923,38.0,2.3162,0.1708,11.3384,0.2795,0.2288,0.4917,0.8513,0.4026,4.3267,0.8956,0.6781,0.8035,137.5,148.0,159.0,124.0,12.0,0.00014126255549021805,0.08202175,0.0656174,0.08202175,0.798,28.018629800000003,1,0.07142857142857142
"('M50L-07', 17, 2527, 673, 1225)",M50L-07,3,2,5,0.4317,15.4581,19.0,1.425,0.9487,5.6876,0.7704,0.0894,0.1402,0.3162,0.297,3.5922,1.1973,0.41,0.9955,134.0,139.6,142.0,124.0,10.0,6.621682288603971e-05,0.04921305000000001,0.04921305000000001,0.08202175,0.815,25.147868550000002,1,0.07142857142857142
"('M50L-07', 0, 2534, 771, 312)",M50L-07,8,1,8,0.4205,16.9851,18.0,1.3077,0.7392,5.3871,0.18,0.4628,0.3572,0.398,0.8437,3.8907,1.3468,0.5684,0.7246,135.0,137.4,139.0,124.0,11.0,7.504573260417834e-05,0.0656174,0.08202175,0.0656174,0.619,25.033038100000002,1,0.07142857142857142
"('M50L-07', 3, 2650, 1192, 747)",M50L-07,6,1,6,0.4254,15.8028,21.0,1.4848,0.8946,6.2712,0.5028,0.1429,0.3543,0.8602,0.5075,3.4342,0.8959,0.5556,0.9205,134.0,139.7,146.0,124.0,10.0,6.180236802697039e-05,0.0656174,0.04921305000000001,0.04921305000000001,0.76,23.130133500000003,1,0.1
"('M50L-07', 16, 2775, 1081, 409)",M50L-07,8,1,8,0.4699,16.3245,22.0,1.3968,0.6105,6.5825,0.6066,0.108,0.2854,0.3656,0.6703,4.6377,1.1968,0.7513,0.9118,137.0,140.9,143.0,124.0,13.0,5.297345830883177e-05,0.04921305000000001,0.0656174,0.04921305000000001,0.744,21.079589750000004,1,0.07142857142857142
"('M50L-07', 9, 2967, 1269, 684)",M50L-07,20,1,20,0.4392,35.4789,49.0,2.4741,0.247,14.6295,0.3684,0.185,0.4467,0.1783,0.9445,5.3742,1.1942,0.7335,0.769,140.0,152.5,170.0,123.0,17.0,0.00015892037492649532,0.08202175,0.09842610000000002,0.09842610000000002,0.879,17.92995455,1,0.07142857142857142
"('M50L-07', 12, 3030, 868, 1217)",M50L-07,7,1,7,0.535,18.5777,24.0,1.6364,0.451,7.1653,0.0983,0.4764,0.4253,0.0718,0.7587,3.5827,0.8956,0.5114,0.8146,135.5,141.3,147.0,124.0,11.0,7.946018746324766e-05,0.04921305000000001,0.04921305000000001,0.0656174,0.836,16.896480500000003,1,0.07142857142857142
"('M50L-07', 18, 3048, 815, 1045)",M50L-07,4,1,4,0.4347,14.1366,27.0,1.8917,0.3869,8.0632,0.2342,0.4446,0.3211,0.194,0.7166,4.1809,1.3439,0.4968,0.7977,145.0,156.0,160.0,124.0,21.0,4.8559003449762456e-05,0.04921305000000001,0.04921305000000001,0.0656174,0.555,16.601202200000003,0,0.07142857142857142
"('M50L-07', 11, 3160, 726, 818)",M50L-07,3,1,3,0.4227,11.4171,21.0,1.5556,0.2452,6.2791,0.6899,0.036,0.2741,0.7593,0.5895,4.1863,2.0929,0.4815,1.1525,126.5,133.3,134.0,115.0,11.5,3.531563887255451e-05,0.04921305000000001,0.04921305000000001,0.04921305000000001,0.176,14.763915,1,0.09090909090909091
"('M50L-07', 7, 3190, 688, 1121)",M50L-07,15,1,15,0.5519,25.9969,33.0,1.9756,0.7515,9.8841,0.2617,0.1814,0.5569,0.9967,0.0634,4.7923,0.8987,0.6851,0.9122,138.0,147.4,156.0,124.0,14.0,0.00011919028119487148,0.0656174,0.0656174,0.0656174,0.645,14.2717845,1,0.07142857142857142
"('M50L-07', 10, 3371, 895, 564)",M50L-07,15,1,15,0.4911,25.6291,31.0,1.9459,0.9484,9.2607,0.4506,0.1862,0.3632,0.3818,0.9192,4.1825,0.8963,0.6407,1.0956,139.0,148.4,151.0,126.0,13.0,0.00012801919091301011,0.0656174,0.0656174,0.0656174,0.374,11.30259715,1,0.07142857142857142
"('M50L-07', 0, 3409, 736, 345)",M50L-07,7,2,8,0.3843,17.9647,21.0,1.4824,0.771,6.2768,0.7916,0.0326,0.1758,0.5839,0.3359,4.3339,0.8968,0.5294,0.8968,134.5,137.6,143.0,122.0,12.5,7.946018746324766e-05,0.0656174,0.09842610000000002,0.04921305000000001,0.568,10.67923185,1,0.07142857142857142
"('M50L-07', 9, 3531, 816, 694)",M50L-07,3,1,3,0.6366,9.9057,16.0,1.1852,0.4963,4.7929,0.5556,0.3333,0.1111,0.0,0.0,4.7928,1.1982,0.5679,1.0,141.5,143.0,144.0,124.0,17.5,2.6486729154415886e-05,0.0328087,0.01640435,0.04921305000000001,0.178,8.67790115,0,0.07142857142857142
"('M50L-07', 7, 3587, 662, 794)",M50L-07,12,2,13,0.34,22.6314,23.0,1.6707,1.477,6.9032,0.7062,0.22,0.0738,0.1095,0.5814,4.0519,1.2006,0.5448,0.8057,130.5,142.1,146.0,115.0,15.5,0.00013243364577207942,0.0656174,0.14763915000000002,0.04921305000000001,0.147,7.759257550000001,0,0.041666666666666664
"('M50L-07', 7, 3587, 662, 794)",M50L-07,8,1,8,0.4937,15.9273,23.0,1.4375,2.3638,6.9032,0.8256,0.145,0.0294,0.2405,0.0,4.5018,0.9004,0.7955,0.9713,131.0,141.0,145.0,115.0,16.0,4.8559003449762456e-05,0.04921305000000001,0.09842610000000002,0.01640435,0.144,7.759257550000001,0,0.041666666666666664
"('M50L-07', 12, 3588, 688, 799)",M50L-07,23,2,36,0.388,39.1464,30.0,1.7213,0.7723,9.0048,0.966,0.0243,0.0097,0.0014,0.1539,4.8022,1.0505,0.7766,0.9542,133.0,143.0,146.0,116.0,17.0,0.00024720947210788157,0.0656174,0.29527830000000005,0.04921305000000001,0.142,7.742853200000001,0,0.06666666666666667
"('M50L-07', 9, 3587, 700, 798)",M50L-07,21,2,40,0.3072,39.1931,25.0,1.6245,7.6477,7.5035,0.9707,0.0125,0.0168,0.0314,0.6425,4.202,0.9005,0.676,0.9443,132.0,141.0,146.0,116.0,16.0,0.00031784074985299063,0.0656174,0.328087,0.08202175,0.138,7.759257550000001,0,0.07142857142857142
"('M50L-07', 13, 3587, 732, 792)",M50L-07,8,2,10,0.4364,19.4869,24.0,1.6113,1.1357,7.2034,0.5088,0.0179,0.4733,0.0531,0.9113,3.9021,0.9004,0.6396,0.7719,131.0,138.8,145.0,116.0,15.0,8.387464232231696e-05,0.04921305000000001,0.08202175,0.04921305000000001,0.137,7.759257550000001,0,0.03333333333333333
"('M50L-07', 13, 3587, 732, 792)",M50L-07,3,3,6,0.3281,15.234,22.0,1.5628,2.0797,6.6031,0.7115,0.1692,0.1193,0.2772,0.587,3.0018,0.6003,0.5574,1.0284,130.0,137.8,140.0,118.0,12.0,5.738791316790108e-05,0.04921305000000001,0.08202175,0.04921305000000001,0.137,7.759257550000001,0,0.03333333333333333
"('M50L-07', 13, 3587, 732, 792)",M50L-07,4,1,4,0.5366,12.1308,25.0,1.5152,0.6326,7.5035,0.2083,0.6667,0.125,0.4472,0.0,4.052,0.6004,0.7879,0.9428,134.0,142.5,145.0,120.0,14.0,2.6486729154415886e-05,0.04921305000000001,0.04921305000000001,0.01640435,0.138,7.759257550000001,0,0.03333333333333333
"('M50L-07', 4, 3587, 742, 788)",M50L-07,6,3,13,0.303,24.7789,26.0,1.7816,3.0814,7.8037,0.5089,0.378,0.1131,0.0923,0.9698,3.3016,1.2006,0.5567,0.8229,129.5,139.0,145.0,116.0,13.5,0.00014126255549021805,0.0656174,0.1312348,0.09842610000000002,0.136,7.759257550000001,0,0.05
"('M50L-07', 9, 3587, 752, 783)",M50L-07,9,3,18,0.3604,27.7316,28.0,1.8434,1.678,8.4039,0.8353,0.1088,0.0559,0.0322,0.7784,3.6019,1.2007,0.5996,1.0997,133.0,140.4,146.0,121.0,12.0,0.00016333482978556462,0.0656174,0.1312348,0.11483045000000001,0.138,7.759257550000001,0,0.1111111111111111
"('M50L-07', 17, 3589, 751, 778)",M50L-07,3,1,3,0.3537,11.865,16.0,1.28,0.9423,4.8028,0.7153,0.0541,0.2306,0.8244,0.0736,2.8514,1.0503,0.352,1.0316,136.5,147.1,148.0,125.0,11.5,4.414454859069314e-05,0.0656174,0.04921305000000001,0.04921305000000001,0.132,7.726448850000001,0,0.125
"('M50L-07', 2, 3587, 759, 778)",M50L-07,5,4,10,0.365,20.0296,24.0,1.6869,1.4386,7.2034,0.7354,0.12,0.1446,0.0517,0.6577,3.4517,1.2007,0.5751,1.1621,131.0,140.0,145.0,121.0,10.0,9.711800689952491e-05,0.0656174,0.08202175,0.08202175,0.139,7.759257550000001,0,0.09090909090909091
"('M50L-07', 0, 3588, 795, 726)",M50L-07,8,2,9,0.469,18.7305,25.0,1.7463,0.68,7.504,0.4996,0.2433,0.2571,0.1737,0.815,3.3017,0.7503,0.5919,0.693,130.0,142.6,146.0,114.0,16.0,8.387464232231696e-05,0.04921305000000001,0.04921305000000001,0.09842610000000002,0.146,7.742853200000001,0,0.07142857142857142
"('M50L-07', 2, 3673, 596, 726)",M50L-07,4,1,4,0.6028,9.5655,16.0,1.1268,0.4735,4.8201,0.5854,0.2927,0.122,0.9487,0.0,4.5189,1.5064,0.831,0.9545,149.0,152.2,153.0,126.0,23.0,2.207227429534657e-05,0.04921305000000001,0.0328087,0.01640435,0.166,6.348483450000001,0,0.07142857142857142
"('M50L-07', 10, 3681, 595, 754)",M50L-07,3,1,3,0.5428,10.9736,17.0,1.3204,0.426,5.1228,0.4961,0.2369,0.267,0.9586,0.0986,3.6161,0.7534,0.4466,0.9822,138.5,148.9,151.0,124.0,14.5,3.531563887255451e-05,0.04921305000000001,0.0328087,0.0328087,0.181,6.21724865,0,0.125
"('M50L-07', 11, 3729, 617, 771)",M50L-07,3,1,3,0.6028,9.5785,18.0,1.2676,0.3906,5.43,0.5854,0.2927,0.122,0.9487,0.0,4.8265,1.2066,0.6761,0.9545,151.0,155.2,156.0,123.0,28.0,2.207227429534657e-05,0.04921305000000001,0.0328087,0.01640435,0.162,5.4298398500000005,0,0.07142857142857142
"('M50L-07', 13, 3741, 529, 1255)",M50L-07,11,1,11,0.5055,18.3724,23.0,1.5578,0.5237,6.9414,0.4962,0.1703,0.3336,0.6799,0.2141,4.5271,1.8107,0.7291,0.9345,134.0,139.6,143.0,122.0,12.0,7.504573260417834e-05,0.0656174,0.0656174,0.04921305000000001,0.892,5.23298765,1,0.07142857142857142
"('M50L-07', 18, 3757, 641, 624)",M50L-07,3,1,3,0.5591,7.6748,15.0,1.0227,0.7319,4.5319,0.5333,0.2667,0.2,0.7071,0.0,4.2294,1.2086,1.0,1.118,136.0,142.4,144.0,124.0,12.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.162,4.970518050000001,0,0.09090909090909091
"('M50L-07', 16, 3858, 664, 613)",M50L-07,3,1,3,0.6366,7.4128,14.0,1.0,1.0,4.2805,0.8889,0.0,0.1111,1.0,0.0,3.9741,0.9168,1.0,1.0,142.0,142.0,142.0,124.0,18.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.161,3.3136787000000005,0,0.125
"('M50L-07', 6, 3861, 602, 721)",M50L-07,3,1,3,0.6028,8.754,16.0,1.25,0.8385,4.8929,0.5854,0.2927,0.122,0.9487,0.0,4.5879,1.5294,0.6875,0.9545,124.0,126.8,128.0,115.0,9.0,2.207227429534657e-05,0.04921305000000001,0.0328087,0.01640435,0.154,3.2644656500000004,0,0.09090909090909091
"('M50L-07', 6, 4059, 1074, 214)",M50L-07,5,1,5,0.5262,12.0513,15.0,1.25,0.7084,5.3253,0.3463,0.4131,0.2406,0.9921,0.1255,3.9069,1.0658,0.6875,0.9668,143.5,146.3,147.0,130.0,13.5,3.531563887255451e-05,0.04921305000000001,0.0328087,0.0328087,0.968,0.01640435,0,0.08333333333333333
"('M50L-08', 11, 211, 599, 655)",M50L-08,3,1,3,0.5258,14.0438,18.0,1.4356,0.4569,5.5917,0.3766,0.3747,0.2487,0.96,0.245,3.4188,0.621,0.3006,0.8548,137.0,142.8,143.0,123.0,14.0,5.738791316790108e-05,0.0656174,0.0328087,0.04921305000000001,0.183,0.01640435,0,0.07142857142857142
"('M50L-08', 9, 211, 612, 717)",M50L-08,4,1,4,0.4595,12.8334,18.0,1.4453,0.911,5.5917,0.6238,0.2081,0.1681,0.7721,0.0964,3.419,0.4665,0.4599,0.982,130.0,137.0,139.0,115.0,15.0,4.8559003449762456e-05,0.0656174,0.0328087,0.04921305000000001,0.142,0.01640435,0,0.07142857142857142
"('M50L-08', 11, 210, 614, 722)",M50L-08,7,4,11,0.3361,22.1746,26.0,1.9949,2.4417,8.0809,0.6901,0.1951,0.1148,0.4451,0.2001,3.1008,0.3098,0.4604,1.1173,129.0,135.2,146.0,116.0,13.0,0.00013243364577207942,0.08202175,0.0656174,0.09842610000000002,0.138,0.0,0,0.08333333333333333
"('M50L-08', 4, 210, 620, 734)",M50L-08,18,7,31,0.4,37.0971,27.0,1.9962,3.2871,8.3917,0.686,0.2236,0.0904,0.3194,0.1033,2.7972,0.6216,0.5128,0.9032,125.0,133.3,140.0,113.0,12.0,0.0003443274790074065,0.1312348,0.09842610000000002,0.1640435,0.134,0.0,0,0.07142857142857142
"('M50L-08', 19, 210, 623, 739)",M50L-08,13,4,22,0.2779,31.7751,27.0,2.0103,4.136,8.3917,0.8856,0.0543,0.0601,0.0059,0.0117,2.4875,0.6213,0.5045,1.0637,125.0,134.0,142.0,113.5,11.5,0.00025603838182602023,0.08202175,0.11483045000000001,0.18044785000000002,0.131,0.0,0,0.09090909090909091
"('M50L-08', 11, 210, 693, 618)",M50L-08,6,3,8,0.3192,18.306,26.0,1.872,1.9974,8.0809,0.7748,0.1554,0.0698,0.2166,0.2435,3.108,0.6212,0.556,0.9416,126.0,131.6,140.0,113.0,13.0,7.946018746324766e-05,0.0656174,0.11483045000000001,0.0328087,0.143,0.0,0,0.1111111111111111
"('M50L-08', 18, 284, 811, 759)",M50L-08,3,1,3,0.6366,8.5328,18.0,1.08,0.04,5.3204,0.8889,0.0,0.1111,1.0,0.0,4.732,0.7386,1.0,1.0,137.0,137.8,138.0,126.0,11.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.185,1.2139219,0,0.125
"('M50L-08', 0, 313, 981, 532)",M50L-08,3,1,3,0.5232,9.2292,17.0,1.1972,0.7172,4.9433,0.3432,0.2505,0.4063,0.6059,0.3645,4.6494,1.5988,0.6901,1.1376,130.0,132.0,132.0,118.0,12.0,2.207227429534657e-05,0.0328087,0.0328087,0.0328087,0.515,1.6896480500000002,1,0.07142857142857142
"('M50L-08', 15, 327, 583, 715)",M50L-08,3,1,3,0.4825,9.5227,16.0,1.1852,0.4293,4.6066,0.5034,0.2551,0.2415,0.9677,0.2521,4.3167,1.4402,0.5679,0.946,127.0,131.5,135.0,118.0,9.0,2.6486729154415886e-05,0.04921305000000001,0.0328087,0.0328087,0.188,1.9193089500000002,0,0.125
"('M50L-08', 14, 352, 726, 643)",M50L-08,3,1,3,0.497,11.4517,17.0,1.3281,0.2066,4.8098,0.6829,0.1352,0.1819,0.6357,0.3254,3.8204,0.8493,0.375,0.9411,117.0,121.0,121.0,105.0,12.0,4.414454859069314e-05,0.04921305000000001,0.0656174,0.0328087,0.109,2.3294177,0,0.07142857142857142
"('M50L-08', 17, 375, 538, 393)",M50L-08,3,1,3,0.6366,8.9619,20.0,1.25,0.6408,5.6019,0.0,0.75,0.25,0.0,0.0,4.4809,1.1201,0.7812,1.0,128.0,133.5,135.0,118.0,10.0,1.7657819436277256e-05,0.0328087,0.01640435,0.0328087,0.556,2.70671775,1,0.125
"('M50L-08', 16, 399, 576, 1009)",M50L-08,11,1,11,0.2988,23.8271,27.0,1.8147,1.1081,7.5278,0.292,0.3239,0.384,0.8798,0.4039,4.3202,1.6728,0.4481,0.8547,133.0,138.0,144.0,122.0,10.5,0.00014567701034928735,0.08202175,0.09842610000000002,0.08202175,0.509,3.1004221500000004,1,0.1111111111111111
"('M50L-08', 0, 400, 872, 544)",M50L-08,3,1,3,0.5166,9.5596,18.0,1.2857,0.6481,5.0178,0.6381,0.1455,0.2164,0.8019,0.3768,4.4601,1.115,0.5952,0.9927,130.0,134.0,135.0,119.0,11.0,2.6486729154415886e-05,0.04921305000000001,0.0328087,0.0328087,0.369,3.1168265,1,0.07142857142857142
"('M50L-08', 13, 478, 625, 734)",M50L-08,3,1,3,0.5232,9.3857,17.0,1.1184,0.6163,4.6946,0.3432,0.2505,0.4063,0.6059,0.3645,4.6946,1.2426,0.6579,1.1376,121.0,122.6,123.0,107.0,14.0,2.207227429534657e-05,0.0328087,0.0328087,0.0328087,0.13,4.396365800000001,0,0.07142857142857142
"('M50L-08', 9, 496, 975, 559)",M50L-08,3,1,3,0.5526,10.6311,19.0,1.3039,0.7122,5.2394,0.5352,0.1763,0.2885,0.8018,0.5745,4.1365,0.9652,0.5098,0.9344,127.0,130.4,131.0,120.0,7.0,3.0901184013485196e-05,0.04921305000000001,0.0328087,0.0328087,0.484,4.6916441,1,0.09090909090909091
"('M50L-08', 7, 552, 1024, 486)",M50L-08,4,2,6,0.4451,17.8616,21.0,1.5531,1.1519,5.7841,0.2004,0.5524,0.2472,0.8543,0.0426,3.8561,1.6526,0.3666,0.8396,132.0,136.8,139.0,120.0,12.0,0.00010153246175859423,0.08202175,0.08202175,0.0656174,0.608,5.610287700000001,1,0.07142857142857142
"('M50L-08', 3, 584, 1004, 688)",M50L-08,3,1,3,0.5232,9.2252,20.0,1.3333,0.7038,5.5007,0.3432,0.2505,0.4063,0.6059,0.3645,4.1258,0.9626,0.7067,1.1376,132.0,134.2,135.0,119.0,13.0,2.207227429534657e-05,0.0328087,0.0328087,0.0328087,0.469,6.1352269,1,0.07142857142857142
"('M50L-08', 1, 672, 517, 1076)",M50L-08,7,1,7,0.5153,16.7394,23.0,1.5516,0.8838,6.299,0.5556,0.0599,0.3845,0.8946,0.2883,4.1083,1.3695,0.496,0.7408,133.0,141.4,142.0,122.0,10.5,7.504573260417834e-05,0.08202175,0.04921305000000001,0.04921305000000001,0.644,7.578809700000001,1,0.07142857142857142
"('M50L-08', 10, 693, 149, 849)",M50L-08,3,1,3,0.4886,13.0296,23.0,1.6013,0.402,6.2906,0.4481,0.378,0.1739,0.8488,0.4416,3.2821,1.094,0.3797,0.8974,130.0,136.0,139.0,120.0,10.0,4.8559003449762456e-05,0.0656174,0.04921305000000001,0.04921305000000001,0.895,7.923301050000001,1,0.07692307692307693
"('M50L-08', 15, 808, 516, 901)",M50L-08,3,1,3,0.6028,9.2837,18.0,1.1842,0.4667,4.9167,0.5854,0.2927,0.122,0.3162,0.0,4.6434,0.6828,0.6711,0.9545,131.0,131.6,132.0,118.0,13.0,2.207227429534657e-05,0.0328087,0.01640435,0.04921305000000001,0.423,9.8098013,1,0.125
"('M50L-08', 10, 810, 529, 967)",M50L-08,3,1,3,0.5591,8.5153,20.0,1.1111,0.6959,5.4627,0.5333,0.2667,0.2,0.7071,0.0,5.1894,1.9119,1.0,1.118,133.0,134.6,135.0,118.0,15.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.489,9.84261,1,0.07142857142857142
"('M50L-08', 10, 877, 624, 664)",M50L-08,3,1,3,0.6366,8.0256,19.0,1.1176,0.0,5.1787,0.8889,0.0,0.1111,1.0,0.0,3.5434,0.1362,1.0,1.0,140.0,142.4,143.0,119.0,21.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.145,10.941701450000002,0,0.07692307692307693
"('M50L-08', 19, 886, 601, 738)",M50L-08,3,1,3,0.4904,10.0117,20.0,1.3333,0.4526,5.4497,0.381,0.3333,0.2857,0.9487,0.169,3.8147,1.3624,0.5889,0.8819,131.0,140.5,147.0,119.5,11.5,2.6486729154415886e-05,0.04921305000000001,0.0328087,0.0328087,0.17,11.089340600000002,0,0.07142857142857142
