cluster_root,volume_name,n_seed,n_seed_regions,n_seed_total,fill_pca,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio,diag,gs_median,gs_p90,gs_peak,gs_shell_median,gs_contrast,volume_mm3,z_extent_mm,y_extent_mm,x_extent_mm,radial_pos_frac,dist_to_z_boundary_mm,ml_label,sample_weight
"('M50L-01', 3, 205, 622, 708)",M50L-01,8,1,8,0.463,17.4756,27.0,1.4464,1.2104,8.428,0.6991,0.1709,0.1299,0.4179,0.1189,4.6811,0.9387,0.9226,0.9926,134.0,141.2,146.0,118.0,16.0,3.973009373162383e-05,0.04921305000000001,0.0328087,0.0656174,0.154,0.0,0,0.09090909090909091
"('M50L-01', 3, 205, 622, 708)",M50L-01,6,1,6,0.6366,15.0294,23.0,1.1695,1.0233,7.1794,0.5556,0.3333,0.1111,1.0,0.0,4.06,0.6219,1.0,1.0,134.5,138.5,139.0,121.5,13.0,2.6486729154415886e-05,0.04921305000000001,0.01640435,0.0328087,0.153,0.0,0,0.09090909090909091
"('M50L-01', 18, 205, 624, 713)",M50L-01,3,1,3,0.5591,10.451,25.0,1.2931,0.4025,7.8037,0.5333,0.2667,0.2,0.7071,0.0,3.4328,0.312,1.0,1.118,132.0,138.4,140.0,118.0,14.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.151,0.0,0,0.25
"('M50L-01', 3, 205, 630, 727)",M50L-01,4,1,4,0.5245,13.0893,25.0,1.5766,0.9647,7.8037,0.46,0.2645,0.2756,1.0,0.0,2.8102,0.4666,0.6667,0.9344,127.0,134.0,137.0,117.0,10.0,3.0901184013485196e-05,0.04921305000000001,0.0328087,0.0328087,0.149,0.0,0,0.05263157894736842
"('M50L-01', 18, 205, 628, 626)",M50L-01,3,1,3,0.6366,10.6274,22.0,1.1186,0.9153,6.8673,0.8889,0.0,0.1111,1.0,0.0,4.5245,0.0037,1.0,1.0,141.0,142.6,143.0,124.0,17.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.179,0.0,0,0.16666666666666666
"('M50L-01', 3, 205, 630, 727)",M50L-01,3,1,3,0.5591,11.3524,30.0,1.4286,0.3746,9.3645,0.5333,0.2667,0.2,0.7071,0.0,4.9946,1.4025,1.0,1.118,131.0,138.2,140.0,115.0,16.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.148,0.0,0,0.05263157894736842
"('M50L-01', 3, 205, 630, 727)",M50L-01,4,1,4,0.6028,14.6525,34.0,1.619,0.6986,10.613,0.5854,0.2927,0.122,0.9487,0.0,4.3738,0.6245,0.8762,0.9545,134.0,142.4,146.0,115.0,19.0,2.207227429534657e-05,0.04921305000000001,0.01640435,0.0328087,0.148,0.0,0,0.05263157894736842
"('M50L-01', 3, 205, 630, 727)",M50L-01,3,1,3,0.6366,10.7667,25.0,1.4493,0.5842,7.8037,0.0,0.75,0.25,0.0,0.0,3.4337,0.6239,0.8116,1.0,127.0,136.0,139.0,116.0,11.0,1.7657819436277256e-05,0.0328087,0.01640435,0.0328087,0.147,0.0,0,0.05263157894736842
"('M50L-01', 17, 205, 635, 739)",M50L-01,8,1,8,0.3582,18.6209,30.0,1.5084,0.6775,9.3645,0.6667,0.2497,0.0836,0.0765,0.2871,4.684,0.9369,0.9274,0.9151,131.0,139.4,141.0,114.0,17.0,3.973009373162383e-05,0.04921305000000001,0.0328087,0.08202175,0.147,0.0,0,0.07142857142857142
"('M50L-01', 17, 205, 635, 739)",M50L-01,3,1,3,0.5591,10.271,25.0,1.3158,0.3977,7.8037,0.5333,0.2667,0.2,0.7071,0.0,3.9032,1.248,1.0,1.118,127.0,131.8,133.0,113.5,13.5,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.147,0.0,0,0.07142857142857142
"('M50L-01', 17, 205, 635, 739)",M50L-01,3,1,3,0.5788,14.86,36.0,2.0,0.8678,11.2373,0.4747,0.4312,0.0941,0.8619,0.0,3.1195,0.7792,0.5952,1.0865,123.0,136.4,146.0,111.5,11.5,3.0901184013485196e-05,0.04921305000000001,0.01640435,0.04921305000000001,0.147,0.0,0,0.07142857142857142
"('M50L-01', 19, 207, 638, 617)",M50L-01,4,1,4,0.6366,10.1358,17.0,1.0462,0.4462,5.3005,0.9375,0.0,0.0625,1.0,0.0,4.5208,1.247,1.0,1.0,141.5,142.0,142.0,121.0,20.5,1.7657819436277256e-05,0.0656174,0.01640435,0.01640435,0.176,0.0328087,0,1.0
"('M50L-01', 19, 206, 642, 613)",M50L-01,3,1,3,0.6366,7.925,15.0,1.0227,0.0227,4.6796,0.8889,0.0,0.1111,1.0,0.0,4.9887,1.2468,1.0,1.0,132.0,132.0,132.0,115.0,17.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.177,0.01640435,0,0.125
"('M50L-01', 16, 206, 660, 744)",M50L-01,4,1,4,0.4608,12.3836,19.0,1.2667,0.7418,5.9275,0.647,0.1845,0.1685,0.6592,0.0573,4.0585,1.0927,0.6476,1.1367,134.0,138.4,139.0,116.0,18.0,3.0901184013485196e-05,0.04921305000000001,0.0328087,0.04921305000000001,0.118,0.01640435,0,0.09090909090909091
"('M50L-01', 16, 205, 665, 610)",M50L-01,3,1,3,0.6028,9.4864,16.0,1.1765,1.2001,4.9944,0.5854,0.2927,0.122,0.9487,0.0,3.2743,0.3118,0.6471,0.9545,142.0,143.2,144.0,120.0,22.0,2.207227429534657e-05,0.04921305000000001,0.0328087,0.01640435,0.158,0.0,0,0.07142857142857142
"('M50L-01', 9, 205, 669, 609)",M50L-01,3,1,3,0.6366,9.6742,18.0,1.1613,0.651,5.6187,0.0,0.75,0.25,1.0,0.0,3.2791,0.0019,0.7903,1.0,136.5,139.1,140.0,121.0,15.5,1.7657819436277256e-05,0.0328087,0.0328087,0.01640435,0.157,0.0,0,0.1111111111111111
"('M50L-01', 9, 205, 675, 607)",M50L-01,4,1,4,0.6257,13.4585,26.0,1.7049,1.2049,8.1159,0.3375,0.5625,0.1,0.7071,0.0,3.1203,0.9345,0.6066,1.0541,131.0,139.7,146.0,118.0,13.0,3.531563887255451e-05,0.04921305000000001,0.04921305000000001,0.01640435,0.154,0.0,0,0.09090909090909091
"('M50L-01', 0, 205, 684, 605)",M50L-01,9,1,9,0.4195,16.3739,25.0,1.5805,2.1943,7.8037,0.929,0.0347,0.0362,0.051,0.2664,2.8102,0.6236,0.8563,0.9864,132.0,135.0,142.0,119.0,13.0,4.8559003449762456e-05,0.0328087,0.11483045000000001,0.0328087,0.151,0.0,0,0.25
"('M50L-01', 7, 205, 713, 603)",M50L-01,3,1,3,0.6028,12.6983,28.0,1.5385,0.755,8.7402,0.5854,0.2927,0.122,0.9487,0.0,3.1172,0.3149,0.7253,0.9545,129.0,141.4,143.0,116.0,13.0,2.207227429534657e-05,0.04921305000000001,0.01640435,0.0328087,0.145,0.0,0,0.16666666666666666
"('M50L-01', 17, 206, 840, 784)",M50L-01,3,1,3,0.5591,8.1067,17.0,1.1333,0.44,5.3035,0.5333,0.2667,0.2,0.7071,0.0,4.0587,1.2486,1.0,1.118,136.0,141.6,143.0,123.0,13.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.233,0.01640435,0,0.07142857142857142
"('M50L-01', 17, 206, 1041, 787)",M50L-01,3,1,3,0.4587,10.1908,15.0,1.125,1.4003,4.6796,0.5943,0.2116,0.1941,0.3905,0.7333,3.5898,1.2486,0.5375,1.032,147.5,149.0,150.0,138.0,9.5,2.6486729154415886e-05,0.0328087,0.04921305000000001,0.0328087,0.52,0.01640435,0,0.125
"('M50L-01', 16, 210, 1157, 820)",M50L-01,5,1,5,0.446,11.3121,19.0,1.2809,0.6659,5.9129,0.8257,0.0455,0.1288,0.6506,0.394,4.6723,1.244,0.8652,1.2839,145.5,151.5,153.0,127.0,18.5,2.6486729154415886e-05,0.04921305000000001,0.04921305000000001,0.0328087,0.71,0.08202175,0,0.07142857142857142
"('M50L-01', 10, 212, 474, 574)",M50L-01,3,1,3,0.5093,9.1601,16.0,1.0847,1.2234,4.9725,0.75,0.15,0.1,0.9487,0.0,4.3466,0.6215,0.7797,1.0541,141.5,145.5,147.0,130.0,11.5,1.7657819436277256e-05,0.04921305000000001,0.01640435,0.0328087,0.427,0.11483045000000001,0,0.07142857142857142
"('M50L-01', 6, 223, 880, 294)",M50L-01,3,1,3,0.5591,8.1827,17.0,1.1087,0.446,5.2363,0.5333,0.2667,0.2,0.7071,0.0,4.9285,0.7693,1.0,1.118,129.0,130.6,131.0,120.0,9.0,1.3243364577207943e-05,0.0328087,0.0328087,0.01640435,0.675,0.29527830000000005,0,0.125
"('M50L-01', 4, 223, 889, 491)",M50L-01,3,1,3,0.6366,8.3579,17.0,1.0851,0.0426,5.2363,0.8889,0.0,0.1111,1.0,0.0,5.2307,1.0798,1.0,1.0,134.0,134.8,135.0,122.0,12.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.415,0.29527830000000005,0,0.14285714285714285
"('M50L-01', 10, 225, 715, 438)",M50L-01,3,1,3,0.5591,9.5801,23.0,1.2778,0.6377,7.0714,0.5333,0.2667,0.2,0.7071,0.0,5.222,1.5361,1.0,1.118,130.0,132.4,133.0,115.0,15.0,1.3243364577207943e-05,0.0328087,0.01640435,0.0328087,0.402,0.328087,1,0.07692307692307693
"('M50L-01', 19, 232, 687, 523)",M50L-01,3,1,3,0.6366,7.5878,15.0,1.0465,0.9767,4.58,0.8889,0.0,0.1111,1.0,0.0,4.2832,1.5301,1.0,1.0,144.0,144.8,145.0,135.0,9.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.274,0.44291745000000005,0,0.14285714285714285
"('M50L-01', 19, 244, 1062, 929)",M50L-01,3,1,3,0.5591,8.0026,17.0,1.1087,0.446,5.1242,0.5333,0.2667,0.2,0.7071,0.0,4.2203,1.8065,1.0,1.118,151.0,152.6,153.0,136.0,15.0,1.3243364577207943e-05,0.0328087,0.0328087,0.01640435,0.647,0.6397696500000001,0,0.09090909090909091
"('M50L-01', 6, 247, 783, 895)",M50L-01,3,1,3,0.6366,7.8052,15.0,1.0,1.0,4.5113,0.8889,0.0,0.1111,1.0,0.0,4.2066,1.05,1.0,1.0,142.0,142.0,142.0,130.0,12.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.327,0.6725783500000001,0,0.125
"('M50L-01', 19, 247, 1292, 570)",M50L-01,3,1,3,0.6366,7.6317,16.0,1.0909,0.0,4.8067,0.8889,0.0,0.1111,0.0,1.0,4.506,0.9013,1.0,1.0,152.0,152.8,153.0,132.0,20.0,1.3243364577207943e-05,0.01640435,0.04921305000000001,0.01640435,0.915,0.6889827000000001,1,0.125
"('M50L-01', 18, 274, 800, 1028)",M50L-01,3,1,3,0.6028,9.9168,20.0,1.3158,0.8065,5.831,0.5854,0.2927,0.122,0.9487,0.0,4.6698,1.4618,0.6579,0.9545,148.0,153.0,155.0,133.0,15.0,2.207227429534657e-05,0.04921305000000001,0.01640435,0.0328087,0.533,1.13190015,1,0.09090909090909091
"('M50L-01', 17, 278, 1115, 604)",M50L-01,3,1,3,0.5591,8.7217,20.0,1.1538,0.6796,5.8064,0.5333,0.2667,0.2,0.7071,0.0,5.2317,1.7434,1.0,1.118,132.0,132.8,133.0,116.5,15.5,1.3243364577207943e-05,0.0328087,0.0328087,0.01640435,0.634,1.1975175500000002,1,0.07142857142857142
"('M50L-01', 9, 279, 1070, 419)",M50L-01,3,1,3,0.6366,9.1399,19.0,1.2063,0.6631,5.5104,0.0,0.75,0.25,1.0,0.0,4.2076,1.4506,0.7937,1.0,142.0,148.7,149.0,125.0,17.0,1.7657819436277256e-05,0.0328087,0.0328087,0.01640435,0.697,1.2139219,0,0.07142857142857142
"('M50L-01', 9, 279, 896, 819)",M50L-01,3,1,3,0.6366,8.0294,17.0,1.0625,0.9583,4.9303,0.8889,0.0,0.1111,1.0,0.0,4.3455,2.3205,1.0,1.0,153.0,153.8,154.0,135.0,18.0,1.3243364577207943e-05,0.04921305000000001,0.01640435,0.01640435,0.337,1.2139219,1,0.09090909090909091
