volume_name,slice_step,slice_indexes,sigma_diff,sigma_corrected,rho1,rho2
M50L-01_processed_unaligned,50.0,"(2, 50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3868)","(8.83518553793856, 9.645932620046617, 9.905781200149002, 10.031360521247072, 10.081054654096986, 10.122731343961066, 10.14263943568396, 10.14680893430921, 10.169494952371974, 10.176569231948946, 10.181465236104847, 10.19393625877404, 10.20780096686698, 10.220976186793745, 10.223567282781246, 10.231295995834916, 10.243705649170561, 10.250702225580083, 10.333106508914026, 10.402900808331545, 10.412302137516587, 10.429230033412335, 10.423340251536278, 10.459742207317062, 10.452733305303738, 10.459082163013255, 10.470545305623432, 10.473872253180419, 10.461468095916493, 10.467403411499687, 10.472294530750203, 10.453431697125955, 10.433267022542546, 10.338939047062984, 10.21381750736648, 10.13474344509635, 10.073091224934888, 10.058879991614324, 10.047718707615367, 10.028525317742393, 10.032934987610503, 10.030141855849827, 10.0303396978073, 10.006195710128308, 9.999224564152112, 9.984685637464887, 9.981553428386107, 9.980694668708596, 9.976812132006291, 9.98041147726217, 9.98274633499397, 9.969200792506006, 9.978671741856209, 9.96573639944144, 9.971368854376403, 9.984008236277703, 9.982967718057326, 9.975454094125915, 9.969341030547461, 9.987839049008338, 9.980781600661354, 9.979183350634308, 9.990557316529788, 9.977401561867046, 9.979625104882945, 9.971442779755732, 9.961318747642709, 9.937115973266955, 9.924495750042821, 9.92988814164237, 9.910064864648731, 9.892129777128375, 9.862173819123134, 9.81956357793222, 9.718295636501162, 9.364582743168853, 9.095664336001773, 8.63615519285753, 8.165542807453111)","(9.21169708888088, 10.043493479418908, 10.348010693820902, 10.497915973694264, 10.527801638147798, 10.581534684857848, 10.639388730107264, 10.597310548078804, 10.611424803173602, 10.623960522233794, 10.596725273030756, 10.657450809531465, 10.665744282915075, 10.712642457724135, 10.70208437463403, 10.67456843544924, 10.715487290192451, 10.690762872794568, 10.796641804647852, 10.84740068140019, 10.852739313169588, 10.859306780860516, 10.836732552278965, 10.88721765479251, 10.904239576282478, 10.886749474889374, 10.914526487599531, 10.89134627680726, 10.87612771184233, 10.901727864025046, 10.918042012033984, 10.883429746903472, 10.865131579186391, 10.789651706039251, 10.654391326279322, 10.580925688521571, 10.507666839161546, 10.500465662368741, 10.479732582234577, 10.447135073463429, 10.440967628231405, 10.444577446401722, 10.48703794486468, 10.448351421192278, 10.469794433818961, 10.404475292232457, 10.418046759041465, 10.412112331056717, 10.401052352518375, 10.425027995644005, 10.43325483011952, 10.415577092099978, 10.431034090703648, 10.403471609595114, 10.385114515803712, 10.434018188697712, 10.429776839673425, 10.412193066917904, 10.388124177498801, 10.414228032645626, 10.403088441645679, 10.400751012178853, 10.43412467260839, 10.412883635951184, 10.424337439857194, 10.415860365636657, 10.42109279644293, 10.373468455663735, 10.359282195529477, 10.367039647287292, 10.35386239959049, 10.3535669808659, 10.279723664196984, 10.2671454254926, 10.128136079209376, 9.766764380528674, 9.517202173209665, 9.05159791395154, 8.605858853583403)","(0.5400378921653695, 0.538800478260763, 0.5418225311812654, 0.5434550979223012, 0.5415346100595746, 0.542418870046093, 0.5455996845640544, 0.5416073482643294, 0.5407793881747949, 0.5412248447530494, 0.5384197483782327, 0.5425462858065137, 0.5420141529975306, 0.5448426746274967, 0.543712909048067, 0.5406638235656175, 0.5430587824718897, 0.5403155144778127, 0.5420116511731271, 0.5401379674817265, 0.5397595503767905, 0.5388201827160831, 0.5374197106614653, 0.5384931456328969, 0.5405492398868867, 0.5385116993657602, 0.5398506566194019, 0.537596175570844, 0.5373988830976754, 0.5390463532406125, 0.5399932775863802, 0.538728927531246, 0.5389578102103773, 0.5409002007989406, 0.5404964147912537, 0.5412794521223862, 0.5405027149558833, 0.541169647321999, 0.540374051088267, 0.5392665592580919, 0.5383163423527023, 0.5388922667796002, 0.5426005810154954, 0.5414228111843241, 0.5439354258328349, 0.5395330865575517, 0.5410200955606506, 0.5405758143617979, 0.5399563629332846, 0.5417394854280051, 0.5422477943829274, 0.5419382631217773, 0.5424266235404213, 0.5411906889756117, 0.5390466367479937, 0.5421990530732981, 0.5419221361004898, 0.5410652656647544, 0.5395010497033451, 0.5401047658740902, 0.5397704203735468, 0.5397109863724847, 0.5416076168586803, 0.5409469498840813, 0.5417509897340581, 0.5417571377861293, 0.5431462940382241, 0.5411795782392891, 0.5410899412908378, 0.5412783919626998, 0.5419443752284725, 0.5435747941374369, 0.5397938383913151, 0.5426434005788517, 0.5396468050216477, 0.5403307568997513, 0.543311302027077, 0.5448438941409928, 0.5498557712621028)","(0.11634304999487717, 0.11390485466931896, 0.11722298155879034, 0.11919051243430616, 0.1175272660002271, 0.11764013580476773, 0.12124333527468363, 0.1167266093499241, 0.11608179467085297, 0.11634719557613002, 0.11355285415124275, 0.11800452028496138, 0.11677576891623749, 0.12030207377029459, 0.11929713396183256, 0.11559944726673653, 0.11881577001738373, 0.11580008948095592, 0.11705305019804171, 0.11607619514904266, 0.11555143204638481, 0.11438897457901354, 0.11322463337684088, 0.11451140553095605, 0.1166910060214861, 0.11429804776487236, 0.11562947221920772, 0.11359401036336303, 0.11363640174857263, 0.11591047964388863, 0.11547575239890077, 0.11472951501987726, 0.11509970578087544, 0.11775936481693888, 0.11690980606546414, 0.11728727595105387, 0.1163293319731609, 0.11756810107381266, 0.11614893030455764, 0.11502504989922117, 0.11383450779693946, 0.11524713880709797, 0.1187713124057483, 0.1172535524898255, 0.12017030900139745, 0.11482509733573837, 0.11625976883586964, 0.11598264149546293, 0.11521840001035938, 0.11749472058328872, 0.11770432017952823, 0.11755357889827767, 0.11765985707980543, 0.11694809089084851, 0.11435279338712397, 0.11809631858870481, 0.11786491892740439, 0.11663037197126475, 0.11514864911337383, 0.11567360425801532, 0.1157750640919191, 0.1150120008075197, 0.11725709490045465, 0.1165793598886931, 0.11739641795543797, 0.1176885658942299, 0.11918198657797176, 0.11707111295310156, 0.11689402292898533, 0.11708448655961044, 0.11789054096756027, 0.12021082782091373, 0.11585932628306606, 0.11806845641060812, 0.11503287749996062, 0.11478197991405585, 0.11868079166954058, 0.11973924021528963, 0.1242480310967177)"
M50L-01_processed_order1,50.0,"(2, 50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3868)","(4.055470101379668, 4.528996948545383, 5.062437202704257, 4.472950196087999, 4.177653686667629, 4.476104330991955, 5.235695146898154, 5.294016439530377, 5.002663718622427, 5.303191998533635, 5.392108915257041, 5.715688592364467, 4.828707436823854, 4.349058814249801, 4.472286735787506, 4.9964452327359, 4.927869028730954, 4.57805992227163, 4.74690674280236, 5.421579639438867, 6.441161811661645, 5.3464869052201465, 4.812895453701661, 4.810550249575486, 5.250120815169351, 4.901123054851839, 4.435472971904968, 4.461055366483112, 4.977489985333441, 5.714071292839997, 5.293402757890355, 5.311477272276272, 5.313995931814601, 5.66303807692639, 5.016971625589098, 4.420330312347123, 4.206505230495919, 4.58181904456923, 5.0064481697655925, 4.560810640809241, 4.526484550835475, 4.970854406219898, 6.034882280434485, 5.406910914805364, 4.63498671615743, 4.478206362114034, 4.663509306646388, 4.965848632424787, 4.274834463579024, 4.16448371497686, 4.518463517135516, 5.333797287939604, 5.253246628060553, 5.009578462104338, 4.959098198060552, 5.213984322133573, 5.258322214554128, 4.47733025564223, 4.143456348098604, 4.342316388061201, 4.973950819698066, 4.663424412133559, 4.515489349811462, 4.805385243823607, 5.546429494341079, 5.785983338869283, 4.868811030281659, 4.432142819600136, 4.492084510059641, 4.972879283307673, 4.508495747674849, 4.138199163033805, 4.227971291785257, 4.890799109204291, 5.294998690783484, 4.8825140833568845, 4.541223757730989, 4.215460423789981, 4.140776461416043)","(5.093995476494594, 5.668836045483539, 6.367288043259101, 5.629308887395607, 5.26596185466891, 5.616850401570817, 6.565641340057093, 6.677279957927359, 6.302587240191667, 6.6477988491734505, 6.767334167533366, 7.230266689383188, 6.104593909858464, 5.484713678755025, 5.6304083099260716, 6.265928354921259, 6.20023884927837, 5.770392315188105, 5.969389654730903, 6.794401427802425, 8.110518329167432, 6.744373576291536, 6.067490933985204, 6.048745420125243, 6.564990027518222, 6.186855429552292, 5.5971450700840135, 5.605830298852681, 6.239556842566352, 7.203676825619235, 6.663888616127926, 6.678837543354295, 6.680842696862191, 7.096940493607448, 6.338785413281256, 5.577266609122581, 5.291456234489829, 5.7364331922626945, 6.289162982935665, 5.738947574386478, 5.687661134776392, 6.228746140627023, 7.542719209863924, 6.805515922646974, 5.847040245927689, 5.630097945494295, 5.828317490445916, 6.253384965301844, 5.387595953953728, 5.251043927007473, 5.670837125882293, 6.681728069892397, 6.616328484327357, 6.309952180812254, 6.224046881119947, 6.543190441032014, 6.640170979623448, 5.66101722047871, 5.219720737079177, 5.443971638758727, 6.217379769589151, 5.8736225788361045, 5.685411495756382, 6.026559259175002, 6.935456362668585, 7.301737448263736, 6.137758510111341, 5.579433896712721, 5.62913506956467, 6.213862284437424, 5.683842959024151, 5.202708225956971, 5.305113188951881, 6.1243207020239305, 6.6641408497698915, 6.138476225984479, 5.733796478361659, 5.29763994313458, 5.215094764377685)","(0.6830904678533004, 0.6808563060275492, 0.6839321599506925, 0.6843193441102193, 0.685312524943871, 0.6824700525204105, 0.6820459235922299, 0.6857021537480241, 0.6849823456713654, 0.6818082128570566, 0.6825670013647129, 0.6875370782842536, 0.6871629137454418, 0.6856216397260875, 0.6845362194972613, 0.6820773883270578, 0.6841568386668592, 0.6852815030523172, 0.6838220738420404, 0.6816394231344257, 0.6846439240281726, 0.6857872650606737, 0.6853957478942918, 0.6837511879582386, 0.6802279818852142, 0.6862228731039475, 0.6860093239022862, 0.6833603200353131, 0.6818123617113114, 0.6854042353675159, 0.6845108528256324, 0.6837730351244428, 0.6836630324814893, 0.6816340298173665, 0.6867859795500924, 0.685922633759861, 0.6840179196951096, 0.6810210748126454, 0.6831572646105846, 0.6842163996849673, 0.6833170645696466, 0.6815576440782253, 0.67992501866432, 0.684393220442692, 0.6858082149763884, 0.6836656823425332, 0.679882588038114, 0.6846980702411982, 0.6852117072832311, 0.6855142018633367, 0.6825632408619842, 0.6813855833048362, 0.6847961831848185, 0.6848478788558393, 0.6825833453927473, 0.6825097997172948, 0.6864506754693408, 0.6872341611565427, 0.6849343886224603, 0.6818871418913477, 0.6799939518896275, 0.684813349698776, 0.6846042460336913, 0.6821021706283021, 0.6802232306648978, 0.686041723556899, 0.6853728126331105, 0.6844870246438198, 0.6815930773439802, 0.6797695761182644, 0.6854069000926951, 0.6836747647127391, 0.6824261346279761, 0.6811298955592892, 0.6843444836262992, 0.6836732951944241, 0.686360133972167, 0.6834114810204571, 0.684783336985001)","(0.208365864603245, 0.20606175597488816, 0.21021832364021276, 0.2093331546209893, 0.2098656098389147, 0.20640701208945725, 0.20714872573546483, 0.21103502943806318, 0.20995341516864505, 0.20569532827496, 0.20735392234621697, 0.21372708232894447, 0.21264450918032604, 0.2104552240548992, 0.20947430098294165, 0.20744445788733967, 0.20957476991417592, 0.21029097934112595, 0.2086355429334271, 0.207243405955323, 0.21117714225061335, 0.211381914086541, 0.2106824596630088, 0.20893963628809542, 0.20564898408965582, 0.2120269326188285, 0.21107937694620182, 0.20833597688687455, 0.2066234991658774, 0.21115508996250595, 0.20962133616931952, 0.20856541397278563, 0.2084358538856239, 0.20694639795422676, 0.21270291487039175, 0.21086520245798313, 0.2086783710695114, 0.20591270148878071, 0.20901639141123118, 0.20954198327660278, 0.20800045952678492, 0.20703088366355832, 0.2057085571526648, 0.21035339042061887, 0.2110868339255693, 0.20847551566153136, 0.2046460731361384, 0.21045067034669337, 0.21040900050252895, 0.2101587151830531, 0.20724624561299454, 0.20667360171777413, 0.21006487307780222, 0.20989104480533874, 0.20693573003175253, 0.20756538297024113, 0.21230564409112085, 0.21281502054630982, 0.20965844256418356, 0.20606246131158182, 0.2050417024160652, 0.21021800493623088, 0.20980590912821243, 0.20695836950044505, 0.20563571176822912, 0.21267132783817597, 0.21118883152910653, 0.2095054595219722, 0.206291834403833, 0.2050530734613011, 0.21083761535952472, 0.2080868194805637, 0.20660005655217145, 0.2062728419679495, 0.2097748955460223, 0.2084029757048258, 0.2112304494373089, 0.20806221028393693, 0.2102547144787156)"
M50L-01_processed_order3,50.0,"(2, 50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3868)","(6.96280786601901, 7.722307978750154, 8.083635571200887, 7.836719910511484, 7.718120049091061, 8.012818748547328, 8.44562253720366, 8.5138068525056, 8.252991195633822, 8.263679875403444, 8.575301986458594, 8.625659438240323, 8.234179450995954, 7.876143559738277, 8.043901175386846, 8.266867262248608, 8.277289647520812, 8.149089682652116, 8.227191530603212, 8.64094805752105, 8.930490504348327, 8.599288760977979, 8.236272536964414, 8.331753875837896, 8.52378087640582, 8.412503187808417, 8.065756529264608, 8.086341468564262, 8.504542324718404, 8.834008759694068, 8.599057456466108, 8.476103826850997, 8.565703119361515, 8.673078020045208, 8.460530513250296, 7.854251522173939, 7.745163281084773, 8.029615765286282, 8.143392428992179, 8.038510003893464, 7.872805745647027, 8.197938655867077, 8.568995761957302, 8.451026131616638, 8.0449237380491, 7.8285510317934675, 8.073380619403226, 8.096739665292453, 7.760950220731428, 7.660557509414057, 7.864586928897835, 8.2639552089155, 8.26861766526217, 8.100356933690762, 8.10211152505915, 8.263347176415973, 8.236800854983711, 7.841749699724754, 7.646852781526705, 7.770176436349198, 8.091905027518411, 8.077694538494105, 7.853938337669417, 8.066671046704327, 8.45848869792709, 8.517009986232143, 8.114572749674014, 7.770659395535003, 7.824558374102605, 8.060241349481354, 7.7998454644622415, 7.605490995693839, 7.680487440556483, 8.058095551331904, 8.125717074065273, 7.744236155684715, 7.336776338488153, 6.967606406491601, 6.661374402313243)","(7.581419722606536, 8.4392728028426, 8.84527772222214, 8.580099659776964, 8.475902027946061, 8.760832507118034, 9.25351099224737, 9.339407890558617, 9.05848269059702, 9.021295537693554, 9.366042502676347, 9.47524647825928, 9.052829380875325, 8.65411798559067, 8.831023842283711, 9.064181893824498, 9.064337989356629, 8.945288457530614, 9.019270617804942, 9.451120368005382, 9.781720283199451, 9.419407070157494, 9.028188906300642, 9.127136363259543, 9.308802609475842, 9.235857164811192, 8.849301758919289, 8.84874809467567, 9.29963392078691, 9.66602031298681, 9.420015519585474, 9.294873601084761, 9.36157241951019, 9.472286843365048, 9.286804181014913, 8.632197247921743, 8.489716587891998, 8.775394977635147, 8.903796928182752, 8.805307629838511, 8.602398528967862, 8.95441524747288, 9.374420708101706, 9.239929394583106, 8.834275961739642, 8.573279232952896, 8.810780180568603, 8.865205482917784, 8.515285805479097, 8.414219588041043, 8.604090647136156, 9.039994763895796, 9.056307476715975, 8.891268783840031, 8.8418253508853, 9.03122962309986, 9.02659549694207, 8.628074014143115, 8.38530577428821, 8.502708062541458, 8.852104832323228, 8.853048696999046, 8.614976687466584, 8.811353804836182, 9.237647884095832, 9.338840186207014, 8.885050165523156, 8.522256314383204, 8.55128345471356, 8.813593394694864, 8.559127783210373, 8.323265879280074, 8.394701582857802, 8.807218898626314, 8.886505734561753, 8.487353208823851, 8.067551478650033, 7.628340516668633, 7.321867529818483)","(0.5782668444417103, 0.5813470182590339, 0.5823999805443242, 0.5828867461242454, 0.5854077238796176, 0.5817365767608491, 0.5834949716691896, 0.5844924643187618, 0.5849677446874822, 0.5804544172863186, 0.5808624196878217, 0.5856440432622738, 0.5863414656632023, 0.5858557579410182, 0.5851593152178494, 0.5840944565199823, 0.5830594569328884, 0.5850464355848326, 0.5839645056179941, 0.5820481953922428, 0.5832360446275164, 0.5832765518502717, 0.5838689265343077, 0.5833476933639712, 0.5807752494427009, 0.5851739011101269, 0.5846232234854157, 0.5824480712855156, 0.5818422096485562, 0.5823713844159211, 0.583352798325741, 0.5842085413989454, 0.5814007577862309, 0.5808139430886288, 0.5850147887784733, 0.586060469233364, 0.5838549097106046, 0.5813740115997472, 0.5817554992112374, 0.5832917961866024, 0.5812161175985925, 0.5809123409719804, 0.5822264116900202, 0.5817349388618945, 0.5853592851872028, 0.5830933329965373, 0.580190630170558, 0.5829263595353773, 0.5846623112906087, 0.5855586540902329, 0.5822544000336837, 0.5821604397879622, 0.5831944358150195, 0.5849973805060718, 0.5801611983262509, 0.5814105923043322, 0.5836685932000839, 0.5869827103662365, 0.5841873909642673, 0.5824415958318848, 0.582190355063853, 0.5837452998837851, 0.5844371025184547, 0.5809426921794015, 0.5807889294435371, 0.5841291976203229, 0.5829563121618113, 0.5843033091767658, 0.5813731602833859, 0.5818230653608634, 0.5847754908021962, 0.5825187440475214, 0.5814599264337914, 0.5814404563518057, 0.5819469975751526, 0.5837227966472506, 0.5864794722951204, 0.5828645670203124, 0.5861395194781875)","(0.0949286093670481, 0.09868747716184618, 0.09963326385045404, 0.09975398557409312, 0.10201276836999137, 0.09723211167495907, 0.10031232113760775, 0.10119442635060504, 0.10172926834926195, 0.0955075047145478, 0.09689800694162976, 0.10260984901559964, 0.10350155772590094, 0.102709070294334, 0.10213352685134763, 0.10108960020366535, 0.09987474313897314, 0.10217411110821743, 0.10078457648897755, 0.09947154603834721, 0.10085706257675177, 0.10026564868448795, 0.10101283242483723, 0.10060844690776125, 0.09785802931969716, 0.10285572199010266, 0.1014524105014585, 0.09929346798635538, 0.09872174714756075, 0.09924846470708408, 0.10004448958870864, 0.10089445887245498, 0.0974964047468597, 0.09784864160567244, 0.10261235681485559, 0.10306794712753367, 0.10066065117767696, 0.09833339812221871, 0.09876697602796253, 0.100609967918184, 0.09797942520654748, 0.09829975261730008, 0.09995690318792777, 0.09929809992860208, 0.10270923220612521, 0.09992673675549078, 0.09675061717029007, 0.09992339643277617, 0.10153181835674127, 0.10242834359767505, 0.09873598089854554, 0.09923218927450254, 0.099931787027322, 0.1016952232766086, 0.09574336715017169, 0.09795345740257878, 0.1006542357680423, 0.10444103029725252, 0.10113669811283375, 0.09873620561651832, 0.09901640026533015, 0.1008479006718849, 0.10182144196473625, 0.09749195781332012, 0.09810464588247456, 0.1019535166375419, 0.10018094431743299, 0.10174647555912066, 0.09815708002909526, 0.09884519448121788, 0.10202793639481036, 0.09904585073425254, 0.0975871901094646, 0.09852608091150236, 0.09868381002949343, 0.10003225936767181, 0.10288438225085718, 0.09916499862354992, 0.10322522581635941)"
M50L-01_processed_order5,50.0,"(2, 50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3868)","(7.54417589119856, 8.242888135785691, 8.592363712029686, 8.560606531460676, 8.504519453059244, 8.638944110071815, 8.952412496496237, 8.995297941450428, 8.910253083520914, 8.92245544485074, 9.049898063159949, 9.076478115007621, 8.922014633464324, 8.657873903978464, 8.746876477942616, 8.949847307978471, 8.961511637641285, 8.886470974826747, 8.94206807890394, 9.236197488542535, 9.341729809661533, 9.22653288356614, 8.959086776511096, 8.987165975835246, 9.061696566973147, 9.001049839395144, 8.860972664780691, 8.87053984292329, 9.062745209659031, 9.305787931993036, 9.232604197888516, 9.030992909035714, 9.078313396129143, 9.25216491576367, 8.989416667733858, 8.61213632923285, 8.52309180665282, 8.618613999164698, 8.675244108853931, 8.617276867042248, 8.586596479094716, 8.825928496030372, 8.973288683220147, 8.89731956122592, 8.606868855004741, 8.541406118425364, 8.617635244743488, 8.626241614665847, 8.495622135677898, 8.4332744092751, 8.564408162788425, 8.844640203974771, 8.84852620120623, 8.625290281050432, 8.628260645304666, 8.85250107624765, 8.83044254678742, 8.552607617556575, 8.425716820671111, 8.504400097690308, 8.623643396275236, 8.62019066481833, 8.55931951437338, 8.616683499941473, 8.89628761742632, 8.926745816356108, 8.636478266076004, 8.487181326244901, 8.522372170916393, 8.58740955215139, 8.494349546738095, 8.250383905295712, 8.405974610594358, 8.55064577291073, 8.553777282382262, 8.218591587388213, 7.832925698804793, 7.410557621968432, 7.072708970701773)","(7.9120730979331, 8.686913358783414, 9.066274011781726, 9.026460004156771, 9.002497728910173, 9.104699695027227, 9.467608422854232, 9.509701229382385, 9.424984678376092, 9.39449346640276, 9.539876102493231, 9.60736890413276, 9.44670804177219, 9.16690080100676, 9.252935375688041, 9.463258920554814, 9.461953294497928, 9.395592425118116, 9.450682683108417, 9.740330790012464, 9.870219439894946, 9.734619316304569, 9.462152666730425, 9.492382014273641, 9.540323717748908, 9.512991831211428, 9.36094702741246, 9.353366958128241, 9.55744063690742, 9.818566916759107, 9.740036431899552, 9.539278274912864, 9.561824397136522, 9.740462440419194, 9.503212118171492, 9.116292392156279, 9.000738295466787, 9.080218213555712, 9.14399367215202, 9.089858245689843, 9.03750215724884, 9.299227051325868, 9.471532299692932, 9.374896406923849, 9.094960137789624, 9.017123548246937, 9.071484270250306, 9.106475781136744, 8.981235529961253, 8.924303054373494, 9.04351830483979, 9.330445903255846, 9.336883165956035, 9.123443008682552, 9.08018020021146, 9.326311101566981, 9.322717512817393, 9.066290878055414, 8.899724089312416, 8.9732455675724, 9.095852152025962, 9.095155702151446, 9.046592313296731, 9.074059189944116, 9.382529437752352, 9.433010708634207, 9.106285842233747, 8.973472480252207, 8.983550534627698, 9.044204740031327, 8.975540512033348, 8.699640978531148, 8.855194111424575, 9.00943123924143, 9.018197801438768, 8.679800428872518, 8.301390585697925, 7.827662100646639, 7.497810081112995)","(0.5454171646531591, 0.5498079344024479, 0.5509056125136512, 0.5502779803533194, 0.553785662026926, 0.5498470698850589, 0.552936103300024, 0.5526294782602514, 0.5531222022806269, 0.548983902551828, 0.5500420698633204, 0.5537319452217452, 0.5539999780450723, 0.5539870654525165, 0.5531961224670986, 0.5527814485441828, 0.5514912185592775, 0.5527191345236797, 0.5523695875309104, 0.5504178986072494, 0.55211038583803, 0.5508316704260221, 0.5517527964467097, 0.551806954409341, 0.5489104013319259, 0.5523670063486045, 0.5519843110705627, 0.5502883278856687, 0.5504206793824153, 0.5508616924197126, 0.5507404920085588, 0.5518638580860968, 0.5492883131789339, 0.5488742855913057, 0.5526039146354766, 0.5537735553909807, 0.5516594001611017, 0.5495440848358376, 0.5499491577978529, 0.5506384832861764, 0.5486480901801186, 0.5496013186309077, 0.5512207228101812, 0.5496445446888161, 0.5522261000911713, 0.551365459019563, 0.548778778888242, 0.5513449432548897, 0.5526080057643562, 0.5535078283439543, 0.5515749410935685, 0.5507112468063337, 0.5509362094973768, 0.5531107400915704, 0.5485313674719245, 0.5495130815050993, 0.551409684943537, 0.5550534923828542, 0.551842533360786, 0.5508842704965117, 0.5505671653199591, 0.5508582037967077, 0.55241199089494, 0.5491344311170212, 0.5504812996941497, 0.5522292847655893, 0.5502607241909455, 0.5527236908642019, 0.5500181822538242, 0.54923147308596, 0.5521742743830098, 0.5503074851147148, 0.5494427515347082, 0.5496262343487093, 0.5501721219506785, 0.5517241699433969, 0.5548398071377395, 0.5518662619138884, 0.555089444820223)","(0.07012670831361373, 0.07490030885346799, 0.07585112349958516, 0.07498270228603102, 0.07825944094811386, 0.07318067181143577, 0.07740857257381106, 0.07694713776851154, 0.07768422276161974, 0.0719742335828956, 0.07389687071915453, 0.0782135393287145, 0.07864412576178162, 0.07882956444105423, 0.07783063163210907, 0.07720964993465047, 0.07599436306376615, 0.07759367699417609, 0.0769948001433362, 0.07571011988221217, 0.07747155748173318, 0.07536644643989779, 0.07680567438699647, 0.07690101429031851, 0.07372321116380952, 0.07770378991727911, 0.07675589851394134, 0.07509663366189145, 0.07524745253535485, 0.0755754242555325, 0.07510785872480774, 0.07644437523425468, 0.07324411140394788, 0.07366090514216403, 0.07811482953285157, 0.07880751529508409, 0.07651739172566101, 0.07436903250891841, 0.07470387510577116, 0.07560321955942824, 0.07325846816267281, 0.07492953960551656, 0.07660463663799882, 0.07498495784213417, 0.07732634602456111, 0.0761687625504845, 0.07305910833417452, 0.07602469849392807, 0.07726710860547582, 0.07818583467451204, 0.07601874507568167, 0.0755157842262599, 0.07528852001460273, 0.07766109511208859, 0.07202854141807231, 0.07385652000576923, 0.07597613159168665, 0.08025605869244784, 0.07670002573628704, 0.07504817584468378, 0.07504438785283193, 0.07573726650924605, 0.07778596494136168, 0.07364838913706412, 0.07582661381362825, 0.07754566354661697, 0.07531806719003588, 0.07817729829439461, 0.07474830701770885, 0.07372402775387167, 0.07696431287091232, 0.07477470735188813, 0.0737276430579743, 0.07465985300706693, 0.07480576543016527, 0.07581172297708273, 0.07896195260267712, 0.07600364101559871, 0.07963787029769716)"
