noise_seed,noise_condition,bit_depth,noise_mean_before,noise_mean_after,particle_sigma,amplitude_snr,interpolation_order,theta_deg,phi_deg,particle_id,top_k,z,y,x,radius_xy,rotated_z,rotated_y,rotated_x,peak_contrast_before,peak_contrast_after,peak_contrast_retention,peak_contrast_drop,integrated_contrast_before,integrated_contrast_after,integrated_contrast_retention,integrated_contrast_drop,peak_cnr_before,peak_cnr_after,peak_cnr_retention,integrated_cnr_before,integrated_cnr_after,integrated_cnr_retention
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,11,7,512.0,783.5289916992188,783.5289916992188,383.9999826385267,512.5814835050777,703.8535447098566,844.6647323483816,20.0,19.0,0.95,0.050000000000000044,128.0,121.0,0.9453125,0.0546875,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,12,7,512.0,622.8512573242188,576.0,128.0000048842193,512.1590371229211,602.3632268301101,602.6210304363102,20.0,18.0,0.9,0.09999999999999998,123.0,116.0,0.943089430894309,0.05691056910569103,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,13,7,512.0,733.7025146484375,640.0,256.0000097684386,512.317006216403,692.8729002696269,693.1305620338038,20.0,18.0,0.9,0.09999999999999998,123.0,115.0,0.9349593495934959,0.06504065040650409,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,14,7,512.0,844.5537719726562,704.0,384.00001465265785,512.4749753098848,783.3825737091437,783.6400936312974,20.0,17.0,0.85,0.15000000000000002,124.0,119.0,0.9596774193548387,0.040322580645161255,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,15,7,512.0,635.6384887695312,545.1288452148438,127.99998550969676,512.1127690497251,622.7047867325794,576.1114041506621,20.0,20.0,1.0,0.0,125.0,122.0,0.976,0.02400000000000002,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,16,7,512.0,759.2770385742188,578.2576904296875,256.0000299748263,512.2244700975821,733.5560790299992,640.1113252595445,20.0,18.0,0.9,0.09999999999999998,123.0,119.0,0.967479674796748,0.03252032520325199,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,17,7,512.0,882.91552734375,611.3865356445312,384.0000154845229,512.3361711178679,844.4073123719852,704.11123057139,20.0,18.0,0.9,0.09999999999999998,125.0,117.0,0.936,0.06399999999999995,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,18,7,384.0,512.0,640.0,128.0,384.21705277576723,478.7247156174707,635.973218322487,20.0,18.0,0.9,0.09999999999999998,122.0,111.0,0.9098360655737705,0.0901639344262295,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,19,7,384.0,512.0,768.0,256.0,384.4328425669962,445.595877844348,759.6115357753225,20.0,16.0,0.8,0.19999999999999996,122.0,111.0,0.9098360655737705,0.0901639344262295,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,1,15.0,0.1,20,7,384.0,512.0,896.0,384.0,384.64863235822514,412.46704007122537,883.249853228158,20.0,17.0,0.85,0.15000000000000002,122.0,113.0,0.9262295081967213,0.07377049180327866,,,,,,
