noise_seed,noise_condition,bit_depth,noise_mean_before,noise_mean_after,particle_sigma,amplitude_snr,interpolation_order,theta_deg,phi_deg,particle_id,top_k,z,y,x,radius_xy,rotated_z,rotated_y,rotated_x,peak_contrast_before,peak_contrast_after,peak_contrast_retention,peak_contrast_drop,integrated_contrast_before,integrated_contrast_after,integrated_contrast_retention,integrated_contrast_drop,peak_cnr_before,peak_cnr_after,peak_cnr_retention,integrated_cnr_before,integrated_cnr_after,integrated_cnr_retention
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,26,7,384.0,704.0,844.5537719726562,384.00001465265785,384.6486323867489,611.2400623308902,883.2498695710493,20.0,19.0,0.95,0.050000000000000044,124.0,126.0,1.0161290322580645,-0.016129032258064502,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,27,7,384.0,602.5096435546875,602.5096435546875,127.99996544059366,384.19473476626194,575.8535361108901,623.1859537887129,20.0,21.0,1.05,-0.050000000000000044,128.0,129.0,1.0078125,-0.0078125,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,28,7,384.0,693.0193481445312,693.0193481445312,256.00001719793306,384.38820667845323,639.8535619895598,734.0370814601552,20.0,19.0,0.95,0.050000000000000044,122.0,122.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,29,7,384.0,783.5289916992188,783.5289916992188,383.9999826385267,384.5816784601769,703.8535447098566,844.8881343792166,20.0,20.0,1.0,0.0,128.0,129.0,1.0078125,-0.0078125,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,30,7,384.0,622.8512573242188,576.0,128.0000048842193,384.15923207802024,602.3632268301101,602.8444324671452,20.0,19.0,0.95,0.050000000000000044,123.0,123.0,1.0,0.0,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,31,7,384.0,733.7025146484375,640.0,256.0000097684386,384.3172011715021,692.8729002696269,693.3539640646388,20.0,19.0,0.95,0.050000000000000044,123.0,124.0,1.008130081300813,-0.008130081300812941,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,32,7,384.0,844.5537719726562,704.0,384.00001465265785,384.475170264984,783.3825737091437,783.8634956621324,20.0,19.0,0.95,0.050000000000000044,124.0,125.0,1.0080645161290323,-0.008064516129032251,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,33,7,384.0,635.6384887695312,545.1288452148438,127.99998550969676,384.1129640048242,622.7047867325794,576.3348061814971,20.0,20.0,1.0,0.0,125.0,127.0,1.016,-0.016000000000000014,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,34,7,384.0,759.2770385742188,578.2576904296875,256.0000299748263,384.2246650526812,733.5560790299992,640.3347272903795,20.0,19.0,0.95,0.050000000000000044,123.0,125.0,1.016260162601626,-0.016260162601626105,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,35,7,384.0,882.91552734375,611.3865356445312,384.0000154845229,384.3363660729671,844.4073123719852,704.334632602225,20.0,19.0,0.95,0.050000000000000044,125.0,129.0,1.032,-0.03200000000000003,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,36,7,256.0,512.0,640.0,128.0,256.2172477308664,478.7247156174707,636.196620353322,20.0,19.0,0.95,0.050000000000000044,122.0,124.0,1.0163934426229508,-0.016393442622950838,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,37,7,256.0,512.0,768.0,256.0,256.43303752209533,445.595877844348,759.8349378061575,20.0,18.0,0.9,0.09999999999999998,122.0,121.0,0.9918032786885246,0.008196721311475419,,,,,,
-1,flat_mean,uint8,128.0,128.0,2.0,5.0,3,15.0,0.1,38,7,256.0,512.0,896.0,384.0,256.64882731332426,412.46704007122537,883.4732552589929,20.0,18.0,0.9,0.09999999999999998,122.0,124.0,1.0163934426229508,-0.016393442622950838,,,,,,
