n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
8,3,200,201,2,2,3,0.6667,200.467,642.185,745.011,10.6081,15.0000,1.3043,0.5027,4.8939,0.4286,0.1071,0.4643,0.0000,0.0000,3.9126,0.9790,0.4674
28,3,200,204,5,5,4,0.2800,201.158,790.768,768.820,19.1567,18.0000,1.6206,0.8049,5.8678,0.3660,0.4701,0.1639,0.1185,0.2249,2.4415,0.3279,0.3344
50,8,200,207,8,5,7,0.1786,202.215,815.440,694.011,25.0062,17.0000,1.5654,3.7624,5.5464,0.3825,0.4962,0.1213,0.3490,0.1846,2.2900,0.9722,0.3039
50,3,200,205,6,4,10,0.2083,201.362,816.543,684.332,24.2878,16.0000,1.5180,3.3828,5.2159,0.7385,0.1879,0.0736,0.1240,0.2434,2.1248,0.3260,0.2562
6,3,200,202,3,3,1,0.6667,200.603,1307.123,748.000,9.7184,15.0000,1.2329,0.6152,4.8939,0.2083,0.6667,0.1250,0.8944,0.0000,3.7512,0.1631,0.5753
6,3,203,205,3,2,2,0.5000,204.067,973.227,1000.187,9.9544,17.0000,1.3600,0.3011,5.5273,0.5230,0.1584,0.3185,0.9225,0.0898,4.5496,0.6497,0.6133
7,3,204,206,3,2,2,0.5833,204.885,779.897,470.487,9.5773,14.0000,1.2564,1.2215,4.5432,0.5916,0.2044,0.2040,0.9664,0.1591,3.2516,0.9740,0.5128
4,3,205,206,2,2,1,1.0000,205.538,1233.538,661.000,8.4411,14.0000,1.0769,0.7092,4.5476,0.0000,0.7500,0.2500,1.0000,0.0000,4.2187,0.9722,0.8077
11,3,206,208,3,4,2,0.4583,206.983,1031.983,334.168,11.6320,15.0000,1.3866,0.9976,4.8629,0.5604,0.3157,0.1239,0.0172,0.1972,3.8876,1.2967,0.3613
7,3,216,218,3,2,2,0.5833,216.855,1102.699,604.229,10.0573,16.0000,1.3494,0.4050,5.1286,0.3772,0.3083,0.3146,0.9758,0.2185,3.8523,1.6039,0.5422
6,3,226,228,3,2,2,0.5000,227.041,1081.500,710.757,9.5586,17.0000,1.3784,0.5575,5.3791,0.4412,0.1872,0.3716,0.7882,0.6154,4.2712,1.5821,0.6081
6,3,233,235,3,2,2,0.5000,233.855,1033.319,640.362,8.8334,15.0000,1.3043,0.7275,4.7029,0.3218,0.4574,0.2208,0.9366,0.3505,4.0785,1.2539,0.6232
5,3,234,235,2,3,1,0.8333,234.492,1277.762,657.000,8.8278,16.0000,1.2698,0.9070,5.0164,0.5854,0.2927,0.1220,0.3162,0.0000,5.0084,0.9394,0.7302
6,3,235,236,2,2,2,0.7500,235.559,663.544,981.750,8.6864,15.0000,1.3235,0.6819,4.6909,0.2667,0.1333,0.6000,0.7071,0.7071,3.9097,1.2517,0.6324
3,3,237,238,2,1,2,0.7500,237.644,1158.000,516.333,8.1081,16.0000,1.0667,0.7255,4.9973,0.5333,0.2667,0.2000,0.7071,0.0000,4.9913,2.1848,1.0000
6,3,243,245,3,2,2,0.5000,244.197,1013.276,1024.671,9.6076,15.0000,1.1842,0.4728,4.6458,0.6381,0.1455,0.2164,0.8019,0.3768,4.1829,1.2372,0.5789
4,3,243,245,3,2,1,0.6667,244.148,1059.167,1072.000,8.3612,16.0000,1.1852,0.2230,4.9556,0.7500,0.1500,0.1000,0.9487,0.0000,4.8006,0.9292,0.8333
4,3,245,247,3,2,1,0.6667,245.633,986.283,1019.000,9.2748,17.0000,1.1333,0.9564,5.2594,0.7500,0.1500,0.1000,0.9487,0.0000,4.6377,1.2321,0.8167
5,3,255,256,2,2,2,0.6250,255.365,703.317,853.778,8.6267,15.0000,1.1905,0.5324,4.5943,0.3432,0.2505,0.4063,0.6059,0.3645,3.9785,0.9186,0.6825
9,4,256,259,4,3,2,0.3750,257.798,933.853,640.193,11.1019,17.0000,1.4037,0.3153,5.1935,0.5991,0.1755,0.2254,0.9628,0.2191,3.6628,0.6110,0.5505
