n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
16,3,200,204,5,3,4,0.2667,201.078,228.983,341.811,13.8829,17.0000,1.5111,1.8820,5.2479,0.4820,0.4411,0.0769,0.4922,0.0564,3.3957,1.8478,0.3389
18,3,200,204,5,3,4,0.3000,201.430,236.058,332.807,15.0492,17.0000,1.4783,1.8929,5.2479,0.4344,0.4713,0.0943,0.7467,0.0264,3.6990,1.5399,0.2899
7,3,200,202,3,1,3,0.7778,201.082,243.000,324.741,9.9115,16.0000,1.3176,0.2716,4.9364,0.4747,0.4312,0.0941,0.8619,0.0000,4.3192,1.5430,0.5294
4,4,200,201,2,1,2,1.0000,200.509,529.000,791.509,8.7954,15.0000,1.0526,0.6947,4.6279,0.0000,0.7500,0.2500,0.0000,0.0000,4.0131,0.6172,1.0000
7,4,200,203,4,2,2,0.4375,201.174,538.359,934.207,10.7272,18.0000,1.3696,0.4490,5.5535,0.6887,0.1889,0.1224,0.9307,0.0038,4.6277,0.6176,0.6630
6,3,200,201,2,2,3,0.5000,200.527,604.500,982.000,9.3232,16.0000,1.2973,0.6883,4.9364,0.6168,0.1058,0.2774,0.5000,0.5000,3.7035,1.2348,0.5946
5,3,200,202,3,1,2,0.8333,200.659,611.000,719.736,12.5583,29.0000,1.5934,0.7101,8.9523,0.5854,0.2927,0.1220,0.9487,0.0000,3.3962,0.3098,0.7582
8,5,200,203,4,2,2,0.5000,200.971,616.074,728.632,14.8351,34.0000,2.0000,1.0405,10.4958,0.7589,0.1106,0.1304,0.9682,0.0838,3.8570,0.4638,0.7574
24,3,200,203,4,5,8,0.1500,200.629,619.879,734.475,22.9286,29.0000,1.9121,3.1708,8.9523,0.8591,0.1138,0.0271,0.0131,0.2234,3.7031,0.9245,0.6868
18,6,200,204,5,3,5,0.2400,200.899,623.794,741.017,21.5263,34.0000,2.0676,1.3478,10.4958,0.3234,0.6061,0.0705,0.0555,0.1408,5.0898,1.5421,0.7432
15,4,200,203,4,2,4,0.4688,200.919,629.635,750.721,17.6855,30.0000,2.0270,1.6168,9.2610,0.1809,0.6812,0.1379,0.6919,0.0658,4.3162,1.3872,0.5541
5,3,200,202,3,1,2,0.8333,200.586,633.000,756.713,12.0068,31.0000,1.7816,0.6528,9.5697,0.5854,0.2927,0.1220,0.9487,0.0000,5.5547,1.6978,0.7701
5,3,200,202,3,1,2,0.8333,200.643,635.000,759.443,9.6603,17.0000,1.2143,0.7806,5.2479,0.5854,0.2927,0.1220,0.9487,0.0000,4.0110,0.3088,0.6857
11,4,200,203,4,2,4,0.3438,200.799,637.738,766.756,15.2576,23.0000,1.5427,1.1307,7.1001,0.1963,0.6715,0.1322,0.4051,0.0640,3.3976,0.3088,0.5610
4,3,200,203,4,1,1,1.0000,201.583,653.000,800.000,9.2526,17.0000,1.1333,0.4167,5.2419,0.9375,0.0000,0.0625,1.0000,0.0000,4.4715,1.3874,0.8000
14,3,200,204,5,4,3,0.2333,201.375,940.732,153.024,13.8497,18.0000,1.5000,0.4615,5.5535,0.6150,0.0994,0.2856,0.8749,0.1019,2.9292,0.6174,0.2857
74,7,200,209,10,7,7,0.1510,203.223,1144.414,289.106,32.1628,20.0000,1.6481,5.0446,6.1740,0.3722,0.6019,0.0260,0.5284,0.0059,4.6298,2.1598,0.3842
3,3,200,201,2,2,1,0.7500,200.640,1223.720,443.000,8.9082,18.0000,1.0800,0.6986,5.5566,0.5333,0.2667,0.2000,0.7071,0.0000,5.2451,1.3877,1.0000
6,3,200,202,3,2,2,0.5000,200.693,1250.707,868.147,9.4483,14.0000,1.1200,0.7670,4.3218,0.5034,0.2551,0.2415,0.9677,0.2521,4.3192,0.9257,0.5600
8,3,201,203,3,2,2,0.6667,201.758,768.758,243.389,10.3581,15.0000,1.2632,0.8858,4.6279,0.4961,0.2369,0.2670,0.9586,0.0986,3.8558,1.5425,0.4526
9,3,201,203,3,2,3,0.5000,202.277,787.214,757.223,11.5097,15.0000,1.2054,0.4152,4.6252,0.5027,0.1913,0.3060,0.8742,0.0793,3.3918,0.9247,0.3929
6,3,201,203,3,2,2,0.5000,202.355,1023.118,729.658,9.5650,15.0000,1.1842,0.9287,4.6224,0.5034,0.2551,0.2415,0.9677,0.2521,3.7018,0.9246,0.5789
5,3,201,203,3,2,1,0.8333,201.758,1198.394,1015.000,9.1025,16.0000,1.2121,0.4626,4.9336,0.5854,0.2927,0.1220,0.9487,0.0000,3.8546,0.3102,0.6667
5,3,203,205,3,1,2,0.8333,204.156,877.000,1006.297,8.8137,15.0000,1.1719,1.1938,4.6224,0.5854,0.2927,0.1220,0.9487,0.0000,4.0014,0.3076,0.7031
4,3,206,208,3,1,2,0.6667,206.904,418.000,881.538,7.9917,15.0000,1.1538,0.5470,4.6103,0.7576,0.1294,0.1129,0.8507,0.0000,4.6116,1.5372,0.8269
4,3,207,210,4,1,1,1.0000,208.418,1026.000,916.000,8.4436,15.0000,1.0909,0.4182,4.6070,0.9375,0.0000,0.0625,1.0000,0.0000,4.1465,0.6156,0.8000
7,3,208,210,3,1,3,0.7778,208.859,497.000,724.247,9.8611,16.0000,1.3176,0.8937,4.9142,0.4747,0.4312,0.0941,0.8619,0.0000,3.0691,0.9225,0.5412
13,4,210,213,4,3,2,0.5417,211.148,894.907,132.265,13.7670,21.0000,1.6852,0.8970,6.4302,0.4410,0.3268,0.2322,0.9145,0.2856,3.3735,0.3079,0.4198
11,3,210,213,4,3,2,0.4583,211.696,919.976,568.616,11.5431,17.0000,1.4960,0.7953,5.2095,0.3716,0.5056,0.1228,0.7950,0.0635,2.7611,0.3073,0.3760
6,3,213,215,3,2,1,1.0000,213.987,902.532,687.000,9.8593,16.0000,1.2152,0.4685,4.8912,0.5556,0.3333,0.1111,1.0000,0.0000,3.8211,0.4584,0.5570
14,4,214,218,5,3,3,0.3111,215.867,1274.072,494.696,14.7641,21.0000,1.6243,1.3314,6.4030,0.6409,0.1839,0.1752,0.9226,0.0661,4.1230,1.2207,0.3757
5,3,215,216,2,2,2,0.6250,215.439,770.803,343.636,9.0119,15.0000,1.1364,0.6034,4.5816,0.3432,0.2505,0.4063,0.6059,0.3645,4.5776,1.5245,0.6667
6,3,215,217,3,3,1,0.6667,215.627,962.680,611.000,9.3470,17.0000,1.3600,0.7036,5.1924,0.6061,0.3030,0.0909,0.7071,0.0000,3.9688,1.3726,0.6133
3,3,221,222,2,2,1,0.7500,221.689,977.667,543.000,7.8871,16.0000,1.0667,0.4560,4.8557,0.5333,0.2667,0.2000,0.7071,0.0000,4.8554,0.6084,1.0000
6,3,223,225,3,2,2,0.5000,224.176,931.459,609.878,9.1486,15.0000,1.2162,0.5067,4.5433,0.3810,0.3333,0.2857,0.9487,0.1690,3.4824,0.3023,0.5946
11,4,225,228,4,3,2,0.4583,226.305,843.177,757.440,12.8465,17.0000,1.3262,0.6621,5.1386,0.2610,0.3393,0.3997,0.9428,0.2894,4.2309,1.3604,0.4539
9,3,226,229,4,3,3,0.2500,227.788,929.038,799.163,10.4594,16.0000,1.3846,0.2701,4.8264,0.5944,0.1674,0.2382,0.7012,0.5988,3.6195,1.2055,0.4327
6,3,227,229,3,3,1,0.6667,227.934,1096.737,516.000,9.3598,18.0000,1.4211,0.2713,5.4297,0.6944,0.2222,0.0833,0.8000,0.0000,3.4669,0.1505,0.6316
5,3,227,228,2,2,2,0.6250,227.629,1211.729,736.786,9.4467,19.0000,1.3571,0.5075,5.7313,0.3432,0.2505,0.4063,0.6059,0.3645,4.8267,1.8099,0.7286
4,3,230,232,3,2,1,0.6667,230.904,1088.712,782.000,7.8188,15.0000,1.1538,0.7180,4.5104,0.5357,0.3214,0.1429,1.0000,0.0000,4.5126,0.9021,0.8269
7,3,231,233,3,3,2,0.3889,232.069,579.011,860.713,9.8762,15.0000,1.2069,0.2957,4.5055,0.5479,0.1606,0.2915,0.9003,0.3984,3.9073,0.9022,0.4943
