n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
3,3,200,202,3,1,1,1.0000,200.956,706.000,617.000,8.2630,16.0000,1.0667,0.9556,5.0854,0.8889,0.0000,0.1111,1.0000,0.0000,3.8166,-0.0014,1.0000
4,3,200,203,4,1,1,1.0000,201.311,786.000,640.000,9.7028,19.0000,1.2459,0.3115,6.0430,0.9375,0.0000,0.0625,1.0000,0.0000,5.5661,-0.6378,0.8525
14,4,200,204,5,3,3,0.3111,201.410,952.751,428.850,14.7099,17.0000,1.3757,1.4400,5.4069,0.4694,0.4508,0.0798,0.7943,0.0363,4.2981,1.5914,0.5318
35,5,200,205,6,6,5,0.1944,202.101,957.948,433.352,20.7682,15.0000,1.3601,0.9669,4.7812,0.4744,0.4772,0.0485,0.3180,0.0295,4.1347,1.5926,0.2228
25,3,200,203,4,6,4,0.2604,201.075,1141.365,515.301,16.9213,17.0000,1.5977,1.6645,5.4069,0.6193,0.1817,0.1990,0.2213,0.7411,2.5435,0.3187,0.2293
15,3,200,202,3,3,4,0.4167,200.994,1144.271,522.694,13.9605,17.0000,1.5000,0.4084,5.4069,0.2958,0.2755,0.4286,0.0000,0.0000,2.3857,0.3172,0.2765
17,3,200,202,3,4,4,0.3542,200.563,1154.268,545.180,14.1122,16.0000,1.4863,0.6488,5.0854,0.5077,0.2025,0.2898,0.1403,0.9180,2.2257,0.6372,0.2404
82,3,200,203,4,9,12,0.1898,201.212,1172.602,605.791,27.8567,18.0000,1.8613,1.9008,5.7249,0.7674,0.1839,0.0487,0.0098,0.9676,2.2254,0.7941,0.0580
126,3,200,204,5,8,18,0.1750,201.890,1181.575,761.220,35.7238,16.0000,1.6000,4.9478,5.0961,0.8283,0.1301,0.0416,0.0139,0.9988,2.5430,0.3215,0.1167
275,5,200,204,5,11,32,0.1562,201.546,1184.475,699.760,52.2645,22.0000,2.2210,8.2714,6.9971,0.9493,0.0432,0.0075,0.0037,0.9849,2.5457,0.9526,0.0991
25,3,201,203,3,4,5,0.4167,202.004,1183.590,751.305,16.9324,17.0000,1.5977,0.5105,5.4107,0.6381,0.1160,0.2459,0.1158,0.8996,1.9094,0.0000,0.1767
139,3,203,206,4,11,21,0.1504,204.418,1145.894,578.559,36.6453,19.0000,1.9491,9.7534,6.0562,0.9115,0.0741,0.0144,0.0185,0.9909,3.1892,0.9570,0.0974
65,3,203,207,5,9,8,0.1806,204.670,1153.535,611.558,26.0281,19.0000,1.8769,2.1319,6.0609,0.3496,0.5569,0.0936,0.2282,0.9610,2.5514,0.9557,0.1505
181,4,203,208,6,11,18,0.1524,204.988,1164.814,714.117,43.1295,17.0000,1.6916,3.7007,5.4229,0.7689,0.2015,0.0296,0.0016,0.9858,2.5550,1.2740,0.1050
