n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
25,4,200,205,6,4,6,0.1736,202.009,169.030,415.013,17.9267,14.0000,1.5152,0.9919,5.4231,0.7560,0.2043,0.0397,0.7215,0.1476,4.2713,1.9374,0.2684
22,3,200,202,3,3,8,0.3056,200.807,559.183,1033.396,16.7464,12.0000,1.3069,1.8103,4.6647,0.8438,0.1003,0.0559,0.0235,0.0594,2.7296,0.3934,0.3317
19,3,200,204,5,5,4,0.1900,201.127,734.740,609.353,15.4243,15.0000,1.6474,0.4562,5.8309,0.6462,0.2751,0.0786,0.4962,0.1431,3.8897,1.7452,0.4046
16,5,200,204,5,3,5,0.2133,201.096,795.898,737.545,16.2261,20.0000,1.9162,1.1909,7.7875,0.4248,0.4762,0.0990,0.6516,0.1567,2.7211,0.7842,0.4371
4,3,200,203,4,1,1,1.0000,201.333,807.000,681.000,10.4894,17.0000,1.2593,0.3333,6.6084,0.9375,0.0000,0.0625,1.0000,0.0000,5.8294,1.1614,0.8333
87,6,200,207,8,5,12,0.1812,202.082,817.478,715.599,32.4025,13.0000,1.4519,5.7231,5.0535,0.7049,0.2006,0.0944,0.2081,0.0646,3.0989,0.7788,0.2567
16,4,200,202,3,3,6,0.2963,200.847,826.000,702.907,14.5809,16.0000,1.7067,1.2405,6.2300,0.7733,0.1494,0.0773,0.2650,0.0503,2.9194,1.1669,0.3600
11,3,200,202,3,4,3,0.3056,200.788,869.495,394.515,11.6074,12.0000,1.3333,1.7666,4.6725,0.6575,0.2145,0.1280,0.2251,0.0362,3.4979,0.7778,0.3535
9,3,200,203,4,3,2,0.3750,201.905,920.810,157.298,10.8671,12.0000,1.2857,0.9713,4.6647,0.7331,0.1091,0.1578,0.8998,0.0520,3.0997,0.7706,0.4048
20,4,200,204,5,5,4,0.2000,201.219,944.770,449.858,15.9001,17.0000,1.8579,1.2481,6.6194,0.5799,0.3059,0.1142,0.6455,0.0197,3.8885,1.5536,0.4044
7,5,200,202,3,2,2,0.5833,200.648,958.423,434.690,10.4378,11.0000,1.0845,1.0366,4.2831,0.4600,0.2645,0.2756,0.8571,0.1000,4.6654,1.9396,0.7746
3,3,200,202,3,1,1,1.0000,200.809,1021.000,511.000,10.5515,21.0000,1.3404,0.8085,8.1769,0.8889,0.0000,0.1111,1.0000,0.0000,5.0541,0.9675,1.0000
7,3,200,203,4,2,2,0.4375,201.062,1021.646,1207.169,9.5488,11.0000,1.1846,1.1317,4.2831,0.7976,0.0792,0.1232,0.9682,0.0838,3.8799,0.7795,0.5077
7,4,200,203,4,2,2,0.4375,201.000,1023.147,514.373,11.0191,13.0000,1.2133,0.4011,5.0535,0.8025,0.0737,0.1238,0.9492,0.0000,4.6560,0.7791,0.7733
10,3,200,203,4,2,3,0.4167,200.849,1028.484,522.925,11.4348,13.0000,1.3978,1.2022,5.0535,0.5835,0.2891,0.1274,0.7838,0.0361,4.0858,1.5549,0.3871
19,7,200,203,4,3,4,0.3958,200.933,1040.611,544.506,16.0539,14.0000,1.4778,1.2248,5.4513,0.1485,0.5515,0.3000,0.2433,0.0945,4.2624,0.7781,0.4500
10,5,200,203,4,2,3,0.4167,200.961,1069.069,610.275,12.5390,15.0000,1.4706,1.0016,5.8406,0.6034,0.2664,0.1302,0.8898,0.1183,4.6596,1.5521,0.6176
7,3,200,202,3,2,2,0.5833,200.500,1103.221,1063.588,9.9992,13.0000,1.3382,0.8029,5.0619,0.5694,0.1270,0.3036,0.8963,0.4170,2.7269,0.5827,0.5735
23,3,200,204,5,5,6,0.1533,201.193,1111.441,1162.287,16.3671,12.0000,1.3663,2.2464,4.6647,0.7334,0.1932,0.0734,0.4154,0.0797,1.9529,0.7706,0.2376
12,4,200,203,4,2,4,0.3750,201.215,1140.455,1134.025,13.5729,14.0000,1.3884,0.5868,5.4422,0.4176,0.4100,0.1723,0.7827,0.1157,2.7211,0.5785,0.4132
10,3,200,202,3,3,3,0.3704,200.753,1143.948,1130.711,11.9286,13.0000,1.3402,0.8077,5.0619,0.4916,0.3239,0.1845,0.7328,0.0441,2.1435,0.0067,0.5052
5,3,201,203,3,2,1,0.8333,202.100,1162.400,405.000,8.6756,12.0000,1.2000,0.4123,4.6567,0.5854,0.2927,0.1220,0.9487,0.0000,4.6560,1.1638,0.6800
10,3,203,206,4,3,3,0.2778,204.483,618.230,1072.908,10.6276,12.0000,1.3793,1.5033,4.6484,0.6251,0.1605,0.2144,0.8477,0.1641,2.1244,0.7719,0.4023
