n_voxels,n_seed,z_min,z_max,z_extent,y_extent,x_extent,fill,centroid_z,centroid_y,centroid_x,snr_cluster,r_peak,r_peak_ratio,peak_offset,snr_peak,linearity,planarity,sphericity,axis_z,normal_z,edge_contrast,decay_drop,seed_grown_ratio
14,6,200,203,4,2,4,0.4375,200.917,618.141,689.974,16.4916,22.0000,1.6042,1.3830,7.0770,0.3508,0.4192,0.2299,0.8944,0.0338,3.0557,0.9621,0.5990
23,4,200,202,3,4,10,0.1917,200.310,625.546,711.824,22.4633,29.0000,1.9910,3.2344,9.3288,0.9440,0.0299,0.0261,0.0322,0.4195,2.8951,0.3243,0.6597
37,6,200,204,5,4,10,0.1850,201.092,629.367,719.804,25.8844,34.0000,2.5673,1.6605,10.9372,0.8485,0.1109,0.0406,0.2542,0.0644,2.8842,0.3241,0.4469
40,5,200,205,6,6,6,0.1852,202.145,632.079,614.845,21.9743,18.0000,1.6628,2.2367,5.7660,0.4999,0.4444,0.0557,0.5721,0.0693,3.8425,1.9284,0.3118
20,4,200,203,4,6,2,0.4167,200.985,669.350,609.658,19.1144,21.0000,1.5789,2.5706,6.7553,0.7047,0.2465,0.0488,0.1653,0.0563,3.2102,0.4822,0.5865
44,9,200,203,4,12,4,0.2292,200.968,679.902,607.882,25.7744,24.0000,1.9850,1.5901,7.7204,0.8812,0.0353,0.0835,0.0489,0.8533,2.5729,0.3257,0.4492
10,3,200,202,3,3,2,0.5556,201.109,813.936,839.755,11.1773,15.0000,1.3636,0.2760,4.8204,0.1581,0.6463,0.1956,0.7950,0.2533,3.6915,1.2834,0.3909
44,15,200,204,5,6,5,0.2933,202.201,977.634,587.105,29.0801,33.0000,2.4160,0.4307,10.5941,0.4627,0.0810,0.4564,0.5337,0.6416,4.1692,1.2824,0.4942
10,3,200,203,4,2,3,0.4167,201.721,1075.477,1040.838,11.2717,18.0000,1.6216,1.7931,5.7903,0.5361,0.2103,0.2536,0.9702,0.1927,2.7291,0.6410,0.4234
11,3,205,207,3,3,3,0.4074,206.173,732.339,307.528,12.2353,17.0000,1.4724,0.6504,5.4331,0.4455,0.1849,0.3696,0.3750,0.3232,2.8737,1.2759,0.3701
5,3,205,207,3,1,2,0.8333,205.828,840.000,783.656,9.1491,17.0000,1.3281,0.3843,5.4331,0.5854,0.2927,0.1220,0.9487,0.0000,4.1551,0.6392,0.7031
11,4,208,210,3,4,2,0.4583,209.157,1157.306,819.761,12.8615,18.0000,1.4776,0.9283,5.7237,0.7921,0.0397,0.1682,0.5434,0.0659,4.1346,0.9552,0.4552
6,3,212,214,3,2,2,0.5000,213.278,474.111,573.708,9.3046,15.0000,1.2500,1.3153,4.7568,0.5034,0.2551,0.2415,0.9677,0.2521,3.9533,0.6345,0.5972
5,3,212,214,3,2,1,0.8333,212.850,1278.283,491.000,8.4991,15.0000,1.2500,0.8960,4.7568,0.5854,0.2927,0.1220,0.9487,0.0000,4.7434,1.5856,0.7167
5,3,221,223,3,2,2,0.4167,221.820,1048.590,877.131,8.5238,14.0000,1.1475,0.9258,4.3801,0.7729,0.0435,0.1836,0.8328,0.5477,4.6855,0.3134,0.6885
8,3,233,235,3,3,3,0.2963,233.463,945.063,757.884,10.2950,16.0000,1.3474,0.4816,4.9080,0.2523,0.4325,0.3152,0.1928,0.1472,2.9123,0.9190,0.4842
7,3,243,245,3,3,2,0.3889,243.933,902.539,673.112,10.1386,19.0000,1.4944,0.4789,5.7259,0.6814,0.1697,0.1489,0.7744,0.2769,3.6220,1.5047,0.5506
10,3,243,246,4,3,3,0.2778,244.836,978.310,792.474,11.0407,16.0000,1.3793,1.0101,4.8218,0.5171,0.1977,0.2851,0.7710,0.3069,3.6189,1.2022,0.5000
3,3,244,245,2,2,1,0.7500,244.311,1061.689,929.000,7.8259,17.0000,1.1333,0.4400,5.1232,0.5333,0.2667,0.2000,0.7071,0.0000,3.9184,1.5043,1.0000
